Data;1461;14004;14031;14058;15863;15895;15927;24004
01/2004;35,00 ;232 ;102 ;334 ;4,82 ;1,40 ;3,59 ;-
02/2004;34,10 ;235 ;89 ;324 ;4,83 ;1,94 ;3,89 ;-
03/2004;34,50 ;243 ;96 ;339 ;4,62 ;2,03 ;3,75 ;-
04/2004;35,70 ;247 ;88 ;336 ;4,97 ;2,62 ;4,23 ;-
05/2004;41,40 ;254 ;100 ;354 ;5,03 ;2,12 ;4,06 ;-
06/2004;39,00 ;260 ;106 ;366 ;4,93 ;2,15 ;3,98 ;-
07/2004;44,00 ;262 ;99 ;360 ;5,10 ;1,73 ;3,99 ;-
08/2004;42,40 ;273 ;102 ;375 ;4,78 ;2,51 ;4,05 ;-
09/2004;41,30 ;270 ;106 ;376 ;4,85 ;2,66 ;4,13 ;-
10/2004;44,20 ;288 ;110 ;398 ;4,46 ;2,62 ;3,86 ;-
11/2004;43,30 ;298 ;105 ;403 ;4,52 ;2,93 ;4,04 ;-
12/2004;66,10 ;315 ;110 ;425 ;4,32 ;2,47 ;3,76 ;-
01/2005;37,40 ;334 ;108 ;442 ;4,40 ;2,46 ;3,84 ;-
02/2005;35,40 ;346 ;108 ;454 ;4,51 ;2,19 ;3,86 ;-
03/2005;38,40 ;356 ;114 ;470 ;4,23 ;2,54 ;3,75 ;-
04/2005;38,20 ;369 ;125 ;493 ;4,03 ;2,42 ;3,55 ;-
05/2005;44,20 ;380 ;129 ;509 ;4,10 ;2,50 ;3,62 ;-
06/2005;42,40 ;381 ;135 ;516 ;4,00 ;2,36 ;3,49 ;-
07/2005;46,80 ;399 ;139 ;538 ;4,10 ;2,30 ;3,55 ;-
08/2005;47,00 ;414 ;159 ;573 ;4,52 ;2,03 ;3,70 ;-
09/2005;42,70 ;424 ;167 ;591 ;4,49 ;1,94 ;3,64 ;-
10/2005;44,10 ;437 ;166 ;603 ;4,73 ;2,10 ;3,88 ;-
11/2005;44,10 ;452 ;177 ;629 ;4,83 ;2,00 ;3,89 ;-
12/2005;67,00 ;468 ;169 ;637 ;4,99 ;2,45 ;4,20 ;-
01/2006;50,50 ;490 ;167 ;657 ;5,13 ;2,84 ;4,44 ;-
02/2006;42,50 ;510 ;176 ;686 ;5,14 ;2,80 ;4,44 ;-
03/2006;45,80 ;519 ;169 ;689 ;5,90 ;3,13 ;5,10 ;-
04/2006;44,30 ;536 ;168 ;703 ;5,89 ;3,39 ;5,18 ;-
05/2006;55,50 ;556 ;171 ;727 ;5,94 ;3,22 ;5,19 ;-
06/2006;50,10 ;580 ;172 ;752 ;5,96 ;3,42 ;5,26 ;-
07/2006;56,00 ;600 ;172 ;772 ;6,04 ;3,52 ;5,36 ;-
08/2006;56,70 ;627 ;172 ;799 ;5,74 ;3,74 ;5,22 ;-
09/2006;53,50 ;652 ;181 ;833 ;5,35 ;3,64 ;4,90 ;-
10/2006;57,00 ;679 ;179 ;857 ;5,04 ;4,66 ;4,95 ;-
11/2006;55,80 ;709 ;184 ;893 ;4,85 ;3,28 ;4,47 ;-
12/2006;84,00 ;736 ;193 ;929 ;4,29 ;2,70 ;3,90 ;-
01/2007;55,00 ;779 ;189 ;967 ;4,20 ;2,63 ;3,83 ;-
02/2007;48,00 ;809 ;184 ;993 ;4,10 ;2,80 ;3,80 ;-
03/2007;53,50 ;831 ;186 ;1.017 ;4,00 ;2,96 ;3,77 ;-
04/2007;49,50 ;853 ;199 ;1.052 ;4,02 ;3,01 ;3,80 ;-
05/2007;60,40 ;890 ;204 ;1.094 ;4,06 ;3,07 ;3,84 ;-
06/2007;56,90 ;919 ;217 ;1.136 ;3,89 ;2,89 ;3,66 ;-
07/2007;65,20 ;950 ;210 ;1.160 ;3,95 ;2,98 ;3,74 ;-
08/2007;58,40 ;983 ;223 ;1.206 ;3,86 ;2,69 ;3,60 ;-
09/2007;57,50 ;1.021 ;243 ;1.264 ;4,00 ;2,37 ;3,62 ;-
10/2007;59,00 ;1.048 ;255 ;1.304 ;3,98 ;2,24 ;3,57 ;-
11/2007;59,90 ;1.081 ;274 ;1.355 ;4,01 ;2,09 ;3,55 ;-
12/2007;84,10 ;1.118 ;302 ;1.420 ;4,17 ;1,87 ;3,58 ;-
01/2008;56,20 ;1.161 ;311 ;1.473 ;4,14 ;2,05 ;3,61 ;-
02/2008;49,40 ;1.201 ;337 ;1.538 ;4,20 ;1,83 ;3,58 ;-
03/2008;53,80 ;1.236 ;342 ;1.579 ;4,25 ;1,89 ;3,63 ;-
04/2008;56,50 ;1.282 ;357 ;1.639 ;4,39 ;1,67 ;3,69 ;-
05/2008;64,70 ;1.324 ;370 ;1.694 ;4,66 ;1,85 ;3,93 ;-
06/2008;59,00 ;1.361 ;395 ;1.756 ;4,57 ;1,79 ;3,83 ;-
07/2008;69,10 ;1.396 ;393 ;1.789 ;4,84 ;1,69 ;4,02 ;-
08/2008;65,30 ;1.431 ;412 ;1.843 ;4,91 ;1,62 ;4,05 ;-
09/2008;62,30 ;1.458 ;444 ;1.901 ;4,93 ;1,41 ;3,97 ;-
10/2008;65,40 ;1.489 ;458 ;1.947 ;5,56 ;1,45 ;4,40 ;-
11/2008;64,40 ;1.519 ;487 ;2.006 ;5,84 ;1,48 ;4,56 ;-
12/2008;88,40 ;1.532 ;485 ;2.017 ;6,00 ;1,57 ;4,71 ;-
01/2009;59,90 ;1.560 ;468 ;2.028 ;6,51 ;1,80 ;5,20 ;-
02/2009;52,70 ;1.567 ;472 ;2.039 ;6,93 ;2,44 ;5,66 ;-
03/2009;57,50 ;1.585 ;475 ;2.060 ;7,26 ;2,73 ;5,99 ;-
04/2009;57,30 ;1.606 ;484 ;2.090 ;7,33 ;2,57 ;6,01 ;-
05/2009;64,70 ;1.631 ;479 ;2.109 ;7,58 ;2,90 ;6,31 ;-
06/2009;62,60 ;1.661 ;483 ;2.144 ;7,29 ;3,85 ;6,37 ;-
07/2009;72,80 ;1.696 ;644 ;2.340 ;7,26 ;2,76 ;5,81 ;-
08/2009;69,80 ;1.725 ;650 ;2.375 ;6,96 ;3,01 ;5,70 ;-
09/2009;66,00 ;1.764 ;644 ;2.408 ;6,91 ;3,15 ;5,74 ;-
10/2009;71,40 ;1.814 ;658 ;2.472 ;6,84 ;3,04 ;5,67 ;-
11/2009;66,10 ;1.856 ;671 ;2.527 ;7,06 ;2,93 ;5,78 ;-
12/2009;101,30 ;1.888 ;679 ;2.567 ;6,90 ;2,85 ;5,66 ;-
01/2010;70,20 ;1.910 ;666 ;2.576 ;7,58 ;2,78 ;6,11 ;-
02/2010;61,30 ;1.914 ;675 ;2.588 ;7,47 ;2,96 ;6,09 ;-
03/2010;67,40 ;1.923 ;694 ;2.617 ;6,46 ;2,55 ;5,25 ;-
04/2010;66,00 ;1.964 ;682 ;2.645 ;6,33 ;2,61 ;5,21 ;-
05/2010;78,50 ;1.992 ;621 ;2.613 ;8,71 ;3,06 ;7,13 ;-
06/2010;71,70 ;2.026 ;654 ;2.680 ;9,44 ;3,28 ;7,67 ;-
