Data;1458 - Índice de volume de vendas no varejo - Total - Amazonas - Índice;14005 - Saldo das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - R$ (milhões);14032 - Saldo das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas jurídicas - R$ (milhões);14059 - Saldo das operações de crédito do Sistema Financeiro Nacional - Amazonas - Total - R$ (milhões);15864 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - %;15896 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas jurídicas - %;15928 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Total - %;24005 - PMS - Índice de volume de serviços - Total - Amazonas - Índice;25412 - Índice de Atividade Econômica Regional - Amazonas - com ajuste sazonal - Índice;28003 - Utilização da capacidade instalada - Amazonas (desde 2006) A - %
01/2000;39,80 ;-;-;-;-;-;-;-;-;-
02/2000;42,40 ;-;-;-;-;-;-;-;-;-
03/2000;42,60 ;-;-;-;-;-;-;-;-;-
04/2000;41,60 ;-;-;-;-;-;-;-;-;-
05/2000;47,20 ;-;-;-;-;-;-;-;-;-
06/2000;46,20 ;-;-;-;-;-;-;-;-;-
07/2000;47,30 ;-;-;-;-;-;-;-;-;-
08/2000;47,90 ;-;-;-;-;-;-;-;-;-
09/2000;45,70 ;-;-;-;-;-;-;-;-;-
10/2000;47,40 ;-;-;-;-;-;-;-;-;-
11/2000;48,90 ;-;-;-;-;-;-;-;-;-
12/2000;77,00 ;-;-;-;-;-;-;-;-;-
01/2001;44,50 ;-;-;-;-;-;-;-;-;-
02/2001;42,10 ;-;-;-;-;-;-;-;-;-
03/2001;45,50 ;-;-;-;-;-;-;-;-;-
04/2001;44,00 ;-;-;-;-;-;-;-;-;-
05/2001;47,00 ;-;-;-;-;-;-;-;-;-
06/2001;45,70 ;-;-;-;-;-;-;-;-;-
07/2001;46,30 ;-;-;-;-;-;-;-;-;-
08/2001;47,70 ;-;-;-;-;-;-;-;-;-
09/2001;44,60 ;-;-;-;-;-;-;-;-;-
10/2001;48,90 ;-;-;-;-;-;-;-;-;-
11/2001;48,50 ;-;-;-;-;-;-;-;-;-
12/2001;76,00 ;-;-;-;-;-;-;-;-;-
01/2002;46,20 ;-;-;-;-;-;-;-;-;-
02/2002;43,90 ;-;-;-;-;-;-;-;-;-
03/2002;46,70 ;-;-;-;-;-;-;-;-;-
04/2002;45,40 ;-;-;-;-;-;-;-;-;-
05/2002;50,40 ;-;-;-;-;-;-;-;-;-
06/2002;46,10 ;-;-;-;-;-;-;-;-;-
07/2002;50,70 ;-;-;-;-;-;-;-;-;-
08/2002;47,10 ;-;-;-;-;-;-;-;-;-
09/2002;45,00 ;-;-;-;-;-;-;-;-;-
10/2002;48,70 ;-;-;-;-;-;-;-;-;-
11/2002;49,10 ;-;-;-;-;-;-;-;-;-
12/2002;67,20 ;-;-;-;-;-;-;-;-;-
01/2003;41,10 ;-;-;-;-;-;-;-;98,34 ;-
02/2003;39,00 ;-;-;-;-;-;-;-;98,65 ;-
03/2003;38,80 ;-;-;-;-;-;-;-;96,70 ;-
04/2003;38,80 ;-;-;-;-;-;-;-;97,41 ;-
05/2003;41,90 ;-;-;-;-;-;-;-;96,20 ;-
06/2003;43,60 ;-;-;-;-;-;-;-;99,44 ;-
07/2003;44,80 ;-;-;-;-;-;-;-;104,66 ;-
08/2003;43,80 ;-;-;-;-;-;-;-;100,97 ;-
09/2003;41,50 ;-;-;-;-;-;-;-;102,72 ;-
10/2003;47,00 ;-;-;-;-;-;-;-;102,72 ;-
11/2003;48,70 ;-;-;-;-;-;-;-;104,55 ;-
12/2003;75,10 ;-;-;-;-;-;-;-;104,39 ;-
01/2004;45,70 ;844 ;2.250 ;3.094 ;9,18 ;3,84 ;4,94 ;-;105,28 ;-
02/2004;40,80 ;863 ;2.133 ;2.995 ;9,16 ;3,24 ;4,53 ;-;102,13 ;-
03/2004;43,60 ;889 ;2.219 ;3.108 ;8,85 ;3,03 ;4,29 ;-;105,65 ;-
04/2004;45,90 ;907 ;2.286 ;3.193 ;9,02 ;2,92 ;4,24 ;-;108,33 ;-
05/2004;55,30 ;935 ;2.422 ;3.356 ;8,89 ;3,02 ;4,26 ;-;108,59 ;-
06/2004;53,40 ;959 ;2.493 ;3.452 ;9,30 ;1,27 ;2,96 ;-;109,48 ;-
07/2004;56,40 ;997 ;2.592 ;3.589 ;8,74 ;1,50 ;3,02 ;-;109,93 ;-
08/2004;52,90 ;999 ;2.652 ;3.651 ;8,27 ;1,37 ;2,83 ;-;112,15 ;-
09/2004;51,30 ;1.014 ;2.757 ;3.771 ;8,19 ;1,41 ;2,84 ;-;113,21 ;-
10/2004;56,80 ;1.055 ;2.970 ;4.026 ;8,18 ;1,20 ;2,61 ;-;114,24 ;-
11/2004;55,70 ;1.080 ;3.017 ;4.097 ;7,87 ;1,16 ;2,56 ;-;117,81 ;-
12/2004;85,50 ;1.159 ;2.959 ;4.119 ;6,95 ;0,92 ;2,26 ;-;116,25 ;-
01/2005;50,30 ;1.235 ;2.890 ;4.125 ;6,62 ;0,98 ;2,30 ;-;114,42 ;-
02/2005;51,50 ;1.283 ;2.737 ;4.020 ;6,22 ;1,73 ;2,85 ;-;115,39 ;-
03/2005;57,90 ;1.305 ;2.678 ;3.983 ;6,31 ;2,08 ;3,18 ;-;117,67 ;-
04/2005;57,40 ;1.344 ;2.648 ;3.991 ;6,29 ;2,37 ;3,41 ;-;120,27 ;-
05/2005;61,90 ;1.393 ;2.679 ;4.073 ;6,54 ;1,89 ;3,14 ;-;123,90 ;-
06/2005;61,40 ;1.427 ;2.713 ;4.140 ;6,44 ;1,57 ;2,90 ;-;128,67 ;-
07/2005;65,70 ;1.481 ;2.962 ;4.443 ;6,26 ;1,40 ;2,67 ;-;121,57 ;-
08/2005;66,80 ;1.517 ;3.018 ;4.535 ;6,42 ;1,59 ;2,86 ;-;119,66 ;-
09/2005;62,70 ;1.536 ;3.189 ;4.725 ;6,42 ;1,52 ;2,78 ;-;120,27 ;-
10/2005;67,30 ;1.568 ;3.229 ;4.797 ;6,82 ;1,57 ;2,93 ;-;124,16 ;-
11/2005;68,00 ;1.621 ;3.387 ;5.009 ;7,03 ;1,51 ;2,93 ;-;120,42 ;-
12/2005;102,20 ;1.690 ;3.682 ;5.372 ;6,73 ;0,93 ;2,38 ;-;117,59 ;-
01/2006;64,20 ;1.761 ;3.668 ;5.429 ;6,81 ;1,00 ;2,49 ;-;119,65 ;80
02/2006;59,10 ;1.820 ;3.686 ;5.506 ;6,77 ;1,03 ;2,52 ;-;127,31 ;81
03/2006;64,50 ;1.854 ;3.568 ;5.422 ;6,80 ;1,11 ;2,66 ;-;126,12 ;82
04/2006;66,50 ;1.908 ;3.786 ;5.694 ;7,03 ;1,06 ;2,64 ;-;123,39 ;84
05/2006;74,80 ;1.951 ;3.903 ;5.855 ;7,44 ;1,20 ;2,86 ;-;124,26 ;83
06/2006;68,00 ;2.019 ;4.107 ;6.126 ;7,15 ;1,18 ;2,73 ;-;121,39 ;82
07/2006;71,80 ;2.067 ;4.247 ;6.313 ;7,15 ;1,21 ;2,75 ;-;123,53 ;81
08/2006;73,60 ;2.123 ;4.353 ;6.475 ;6,94 ;1,22 ;2,70 ;-;121,62 ;83
09/2006;72,80 ;2.180 ;4.596 ;6.777 ;6,75 ;1,28 ;2,67 ;-;123,66 ;87
10/2006;76,50 ;2.217 ;4.804 ;7.021 ;6,78 ;1,31 ;2,68 ;-;123,05 ;89
