Data;14083 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas físicas - R$ (milhões);14088 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas jurídicas - R$ (milhões);14093 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Total - R$ (milhões);15888 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas físicas - %;15920 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas jurídicas - %;15952 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Norte - Total - %;21186 - Índice de volume de vendas no varejo - Norte - Índice;21199 - Índice de volume de vendas no varejo - Norte - com ajuste sazonal - Índice;21931 - Produção industrial (2012=100) - Com ajuste sazonal - Região Norte - Índice;27967 - Índice Nacional de Preços ao Consumidor Amplo - variação mensal - região Norte - %
01/2004;4.128 ;8.029 ;12.156 ;7,10 ;1,96 ;3,34 ;40,64 ;43,38 ;74,92 ;-
02/2004;4.222 ;7.905 ;12.127 ;7,05 ;1,83 ;3,28 ;36,95 ;42,98 ;72,41 ;-
03/2004;4.346 ;8.330 ;12.675 ;6,62 ;1,93 ;3,21 ;40,10 ;43,86 ;75,97 ;-
04/2004;4.444 ;8.388 ;12.831 ;6,76 ;2,00 ;3,32 ;41,14 ;45,10 ;75,48 ;-
05/2004;4.579 ;8.737 ;13.316 ;6,59 ;2,07 ;3,31 ;46,33 ;45,97 ;77,15 ;-
06/2004;4.715 ;8.857 ;13.572 ;6,44 ;1,23 ;2,68 ;44,91 ;46,92 ;77,56 ;-
07/2004;4.851 ;8.873 ;13.724 ;6,30 ;1,36 ;2,75 ;48,31 ;48,45 ;77,44 ;-
08/2004;4.895 ;8.920 ;13.815 ;6,02 ;1,37 ;2,71 ;45,75 ;46,80 ;78,85 ;-
09/2004;4.973 ;9.020 ;13.992 ;6,01 ;1,46 ;2,78 ;44,07 ;46,63 ;80,17 ;-
10/2004;5.150 ;9.101 ;14.251 ;6,01 ;1,36 ;2,73 ;48,26 ;47,47 ;80,02 ;-
11/2004;5.306 ;9.147 ;14.453 ;5,91 ;1,39 ;2,77 ;46,74 ;47,59 ;83,10 ;-
12/2004;5.644 ;8.983 ;14.627 ;5,51 ;1,27 ;2,63 ;73,59 ;48,81 ;84,51 ;-
01/2005;5.930 ;8.866 ;14.796 ;5,53 ;1,32 ;2,71 ;43,45 ;46,73 ;81,78 ;-
02/2005;6.125 ;8.847 ;14.972 ;5,46 ;1,70 ;2,96 ;42,86 ;51,09 ;83,91 ;-
03/2005;6.280 ;8.910 ;15.190 ;5,49 ;1,85 ;3,10 ;48,36 ;52,25 ;84,35 ;-
04/2005;6.470 ;9.054 ;15.524 ;5,43 ;1,84 ;3,07 ;47,99 ;52,25 ;89,21 ;-
05/2005;6.681 ;9.037 ;15.718 ;5,61 ;1,75 ;3,10 ;51,97 ;52,29 ;94,35 ;-
06/2005;6.834 ;9.348 ;16.182 ;5,38 ;1,64 ;2,95 ;50,55 ;52,70 ;95,96 ;-
07/2005;7.039 ;9.688 ;16.727 ;5,33 ;1,63 ;2,91 ;52,76 ;53,61 ;85,46 ;-
08/2005;7.162 ;9.774 ;16.936 ;5,67 ;1,78 ;3,14 ;54,65 ;54,76 ;81,55 ;-
09/2005;7.256 ;9.812 ;17.069 ;5,74 ;1,80 ;3,20 ;52,31 ;54,97 ;83,87 ;-
10/2005;7.420 ;9.755 ;17.175 ;6,10 ;1,84 ;3,38 ;55,85 ;55,06 ;88,00 ;-
11/2005;7.653 ;9.701 ;17.354 ;6,20 ;1,77 ;3,41 ;54,34 ;55,12 ;82,38 ;-
12/2005;7.981 ;10.062 ;18.043 ;6,04 ;1,37 ;3,10 ;83,15 ;55,54 ;82,91 ;-
01/2006;8.286 ;9.943 ;18.229 ;6,24 ;1,50 ;3,31 ;52,25 ;56,67 ;85,71 ;0,55
02/2006;8.553 ;10.014 ;18.567 ;6,28 ;1,56 ;3,39 ;47,78 ;56,95 ;95,88 ;0,31
03/2006;8.711 ;10.012 ;18.722 ;6,54 ;1,65 ;3,57 ;51,82 ;55,84 ;94,13 ;0,44
04/2006;8.967 ;10.113 ;19.080 ;6,70 ;1,77 ;3,72 ;53,59 ;58,60 ;88,08 ;0,32
05/2006;9.185 ;10.487 ;19.672 ;6,73 ;1,86 ;3,78 ;61,14 ;60,69 ;89,39 ;0,21
06/2006;9.544 ;10.718 ;20.262 ;6,53 ;1,84 ;3,70 ;56,16 ;58,89 ;88,15 ;-0,04
07/2006;9.794 ;10.924 ;20.718 ;6,52 ;1,82 ;3,70 ;58,53 ;59,42 ;89,65 ;0,11
08/2006;10.064 ;11.050 ;21.114 ;6,44 ;1,87 ;3,72 ;61,18 ;61,01 ;86,23 ;-0,32
09/2006;10.358 ;11.500 ;21.858 ;6,29 ;1,88 ;3,65 ;59,97 ;61,97 ;88,32 ;0,03
10/2006;10.587 ;11.717 ;22.304 ;6,29 ;1,99 ;3,73 ;62,47 ;62,35 ;86,15 ;0,78
11/2006;10.964 ;11.957 ;22.921 ;5,81 ;1,94 ;3,51 ;62,74 ;63,28 ;90,15 ;0,50
12/2006;11.282 ;11.858 ;23.140 ;5,24 ;2,11 ;3,42 ;91,91 ;62,89 ;88,41 ;0,24
01/2007;11.731 ;11.689 ;23.420 ;5,21 ;2,05 ;3,40 ;58,47 ;62,52 ;90,53 ;0,50
02/2007;12.061 ;11.780 ;23.842 ;5,15 ;1,99 ;3,36 ;53,05 ;63,18 ;89,59 ;0,45
03/2007;12.396 ;11.652 ;24.048 ;5,09 ;1,93 ;3,32 ;59,93 ;63,82 ;93,24 ;0,78
04/2007;12.560 ;12.060 ;24.619 ;5,19 ;1,92 ;3,36 ;57,68 ;63,76 ;93,12 ;0,67
05/2007;13.062 ;12.181 ;25.243 ;5,39 ;1,95 ;3,49 ;66,50 ;65,94 ;90,27 ;0,27
06/2007;13.538 ;12.349 ;25.887 ;4,98 ;1,87 ;3,27 ;61,72 ;64,30 ;91,63 ;0,06
07/2007;13.941 ;12.533 ;26.474 ;4,96 ;1,86 ;3,27 ;62,47 ;63,88 ;90,85 ;0,33
08/2007;14.350 ;12.844 ;27.194 ;4,94 ;1,83 ;3,25 ;64,17 ;63,67 ;95,28 ;0,87
09/2007;14.875 ;12.992 ;27.866 ;4,86 ;1,83 ;3,23 ;61,67 ;64,03 ;91,86 ;0,35
10/2007;15.286 ;13.426 ;28.711 ;4,78 ;1,70 ;3,13 ;65,22 ;64,26 ;93,29 ;0,73
11/2007;15.759 ;13.705 ;29.464 ;4,85 ;1,59 ;3,12 ;65,78 ;66,38 ;94,51 ;0,49
12/2007;16.332 ;14.126 ;30.458 ;4,77 ;1,65 ;3,10 ;94,72 ;65,68 ;97,65 ;1,40
01/2008;16.841 ;14.075 ;30.917 ;4,88 ;2,11 ;3,42 ;61,78 ;65,81 ;102,91 ;0,87
02/2008;17.333 ;14.451 ;31.784 ;4,93 ;2,10 ;3,44 ;54,68 ;62,75 ;100,79 ;0,63
03/2008;17.651 ;14.661 ;32.312 ;4,92 ;2,01 ;3,40 ;60,37 ;64,43 ;96,22 ;0,58
04/2008;18.161 ;14.921 ;33.082 ;5,02 ;2,53 ;3,73 ;59,36 ;65,45 ;94,26 ;1,31
05/2008;18.792 ;15.331 ;34.123 ;5,38 ;2,62 ;3,95 ;67,41 ;66,19 ;96,98 ;0,25
06/2008;19.369 ;15.827 ;35.196 ;5,27 ;2,34 ;3,75 ;62,49 ;66,40 ;96,99 ;0,41
07/2008;19.946 ;16.165 ;36.111 ;5,37 ;2,57 ;3,93 ;66,69 ;66,89 ;96,76 ;1,01
08/2008;20.476 ;16.765 ;37.241 ;5,49 ;2,41 ;3,89 ;66,45 ;66,12 ;97,94 ;0,79
09/2008;20.816 ;17.584 ;38.400 ;5,42 ;2,25 ;3,76 ;63,94 ;66,30 ;99,83 ;0,27
