Data;1460;7480;13076;13077;14015;14042;14069;15874;15906;15938;24006;25410
01/1990;-;-;71,26 ;73,00 ;-;-;-;-;-;-;;
02/1990;-;-;70,19 ;68,09 ;-;-;-;-;-;-;;
03/1990;-;-;85,43 ;85,23 ;-;-;-;-;-;-;;
04/1990;-;-;13,95 ;14,22 ;-;-;-;-;-;-;;
05/1990;-;-;9,24 ;8,72 ;-;-;-;-;-;-;;
06/1990;-;-;13,89 ;13,57 ;-;-;-;-;-;-;;
07/1990;-;-;13,93 ;14,20 ;-;-;-;-;-;-;;
08/1990;-;-;13,56 ;12,95 ;-;-;-;-;-;-;;
09/1990;-;-;14,29 ;15,23 ;-;-;-;-;-;-;;
10/1990;-;-;12,57 ;12,59 ;-;-;-;-;-;-;;
11/1990;-;-;17,83 ;17,48 ;-;-;-;-;-;-;;
12/1990;-;-;17,99 ;17,99 ;-;-;-;-;-;-;;
01/1991;-;-;22,18 ;22,03 ;-;-;-;-;-;-;;
02/1991;-;-;18,56 ;19,93 ;-;-;-;-;-;-;;
03/1991;-;-;7,98 ;8,32 ;-;-;-;-;-;-;;
04/1991;-;-;5,28 ;5,47 ;-;-;-;-;-;-;;
05/1991;-;-;9,16 ;8,78 ;-;-;-;-;-;-;;
06/1991;-;-;9,61 ;9,54 ;-;-;-;-;-;-;;
07/1991;-;-;12,86 ;11,90 ;-;-;-;-;-;-;;
08/1991;-;-;0,00 ;0,00 ;-;-;-;-;-;-;;
09/1991;-;-;33,59 ;32,76 ;-;-;-;-;-;-;;
10/1991;-;-;20,95 ;20,67 ;-;-;-;-;-;-;;
11/1991;-;-;25,52 ;27,04 ;-;-;-;-;-;-;;
12/1991;-;-;25,40 ;24,68 ;-;-;-;-;-;-;;
01/1992;-;-;29,91 ;30,54 ;-;-;-;-;-;-;;
02/1992;-;-;23,52 ;24,43 ;-;-;-;-;-;-;;
03/1992;-;-;20,87 ;21,38 ;-;-;-;-;-;-;;
04/1992;-;-;21,31 ;21,78 ;-;-;-;-;-;-;;
05/1992;-;-;24,21 ;23,19 ;-;-;-;-;-;-;;
06/1992;-;-;18,51 ;18,17 ;-;-;-;-;-;-;;
07/1992;-;-;18,06 ;18,35 ;-;-;-;-;-;-;;
08/1992;-;-;24,91 ;24,98 ;-;-;-;-;-;-;;
09/1992;-;-;26,66 ;25,65 ;-;-;-;-;-;-;;
10/1992;-;-;26,97 ;27,89 ;-;-;-;-;-;-;;
11/1992;-;-;22,36 ;22,74 ;-;-;-;-;-;-;;
12/1992;-;-;27,16 ;28,19 ;-;-;-;-;-;-;;
01/1993;-;-;29,58 ;29,25 ;-;-;-;-;-;-;;
02/1993;-;-;24,18 ;23,66 ;-;-;-;-;-;-;;
03/1993;-;-;26,48 ;26,87 ;-;-;-;-;-;-;;
04/1993;-;-;27,64 ;28,27 ;-;-;-;-;-;-;;
05/1993;-;-;25,94 ;24,36 ;-;-;-;-;-;-;;
06/1993;-;-;29,37 ;29,16 ;-;-;-;-;-;-;;
07/1993;-;-;28,18 ;28,72 ;-;-;-;-;-;-;;
08/1993;-;-;33,34 ;33,01 ;-;-;-;-;-;-;;
09/1993;-;-;38,54 ;38,22 ;-;-;-;-;-;-;;
10/1993;-;-;33,87 ;34,33 ;-;-;-;-;-;-;;
11/1993;-;-;34,68 ;34,71 ;-;-;-;-;-;-;;
12/1993;-;-;38,49 ;39,97 ;-;-;-;-;-;-;;
01/1994;-;-;45,44 ;46,45 ;-;-;-;-;-;-;;
02/1994;-;-;39,27 ;39,30 ;-;-;-;-;-;-;;
03/1994;-;-;42,05 ;43,20 ;-;-;-;-;-;-;;
04/1994;-;-;40,59 ;39,91 ;-;-;-;-;-;-;;
05/1994;-;-;44,84 ;43,46 ;-;-;-;-;-;-;;
06/1994;-;-;47,18 ;47,85 ;-;-;-;-;-;-;;
07/1994;-;-;9,62 ;10,42 ;-;-;-;-;-;-;;
08/1994;-;-;3,30 ;3,32 ;-;-;-;-;-;-;;
09/1994;-;-;2,36 ;1,64 ;-;-;-;-;-;-;;
10/1994;-;-;4,44 ;4,63 ;-;-;-;-;-;-;;
11/1994;-;-;3,25 ;3,53 ;-;-;-;-;-;-;;
12/1994;-;-;1,46 ;1,19 ;-;-;-;-;-;-;;
01/1995;-;-;1,55 ;0,99 ;-;-;-;-;-;-;;
02/1995;-;-;1,43 ;1,09 ;-;-;-;-;-;-;;
03/1995;-;-;1,74 ;1,79 ;-;-;-;-;-;-;;
04/1995;-;-;1,49 ;1,43 ;-;-;-;-;-;-;;
05/1995;-;-;2,41 ;1,74 ;-;-;-;-;-;-;;
06/1995;-;-;1,37 ;1,37 ;-;-;-;-;-;-;;
07/1995;-;-;1,58 ;1,67 ;-;-;-;-;-;-;;
08/1995;-;-;0,97 ;0,88 ;-;-;-;-;-;-;;
09/1995;-;-;1,89 ;2,30 ;-;-;-;-;-;-;;
10/1995;-;-;1,02 ;0,73 ;-;-;-;-;-;-;;
11/1995;-;-;0,87 ;0,96 ;-;-;-;-;-;-;;
12/1995;-;-;1,26 ;1,53 ;-;-;-;-;-;-;;
01/1996;-;-;0,94 ;0,91 ;-;-;-;-;-;-;;
02/1996;-;-;1,54 ;0,79 ;-;-;-;-;-;-;;
03/1996;-;-;0,39 ;0,22 ;-;-;-;-;-;-;;
04/1996;-;-;-0,03 ;-0,40 ;-;-;-;-;-;-;;
05/1996;-;-;0,66 ;0,51 ;-;-;-;-;-;-;;
