Data;1466 - Índice volume de vendas no varejo (2003=100) - Total - Rio Grande do Norte - Índice;7488 - Cesta básica - Natal - u.m.c.;14021 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas físicas - R$ (milhões);14048 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas jurídicas - R$ (milhões);14075 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Total - R$ (milhões);15880 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas físicas - %;15912 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas jurídicas - %;15944 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Total - %;28026 - PMS - Índice de volume de serviços - Total - Rio Grande do Norte - com ajuste sazonal - Índice
01/2004;36,20 ;142,21 ;1.041 ;1.128 ;2.169 ;8,93 ;3,20 ;5,37 ;-
02/2004;34,60 ;139,42 ;1.056 ;1.146 ;2.202 ;8,76 ;4,29 ;5,98 ;-
03/2004;39,00 ;143,18 ;1.081 ;1.122 ;2.203 ;8,46 ;4,39 ;5,98 ;-
04/2004;39,00 ;138,59 ;1.100 ;1.144 ;2.244 ;8,21 ;4,32 ;5,83 ;-
05/2004;40,80 ;137,78 ;1.124 ;1.174 ;2.298 ;7,75 ;4,23 ;5,60 ;-
06/2004;39,60 ;139,90 ;1.141 ;1.195 ;2.336 ;7,59 ;3,96 ;5,36 ;-
07/2004;43,10 ;140,46 ;1.178 ;1.166 ;2.343 ;7,47 ;3,18 ;4,89 ;-
08/2004;42,70 ;152,07 ;1.177 ;1.259 ;2.436 ;7,11 ;3,04 ;4,61 ;-
09/2004;40,80 ;138,71 ;1.199 ;1.244 ;2.443 ;7,26 ;3,23 ;4,84 ;-
10/2004;42,60 ;132,74 ;1.219 ;1.264 ;2.483 ;7,45 ;3,06 ;4,78 ;-
11/2004;42,20 ;127,78 ;1.252 ;1.280 ;2.531 ;7,04 ;3,18 ;4,74 ;-
12/2004;60,80 ;131,80 ;1.320 ;1.294 ;2.614 ;6,53 ;2,86 ;4,36 ;-
01/2005;43,00 ;137,09 ;1.383 ;1.304 ;2.687 ;6,30 ;2,84 ;4,27 ;-
02/2005;42,20 ;140,52 ;1.422 ;1.291 ;2.712 ;6,14 ;3,07 ;4,36 ;-
03/2005;46,80 ;133,18 ;1.448 ;1.274 ;2.722 ;6,13 ;3,32 ;4,53 ;-
04/2005;46,50 ;138,72 ;1.492 ;1.232 ;2.724 ;6,37 ;3,83 ;4,96 ;-
05/2005;48,50 ;140,73 ;1.532 ;1.264 ;2.797 ;6,18 ;3,96 ;4,94 ;-
06/2005;50,10 ;139,74 ;1.557 ;1.264 ;2.821 ;5,80 ;3,66 ;4,62 ;-
07/2005;52,10 ;140,25 ;1.605 ;1.265 ;2.871 ;5,50 ;3,71 ;4,52 ;-
08/2005;52,80 ;137,74 ;1.634 ;1.317 ;2.952 ;5,78 ;3,03 ;4,27 ;-
09/2005;51,00 ;131,60 ;1.648 ;1.307 ;2.955 ;5,81 ;2,97 ;4,27 ;-
