Data;1456 - Índice de volume de vendas no varejo - Total - Rondônia - Índice;14023 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas físicas - R$ (milhões);14050 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas jurídicas - R$ (milhões);14077 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rondônia - Total - R$ (milhões);15882 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas físicas - %;15914 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas jurídicas - %;15946 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rondônia - Total - %;24007 - PMS - Índice de volume de serviços - Total - Rondônia - Índice
01/2000;24,00 ;-;-;-;-;-;-;-
02/2000;25,30 ;-;-;-;-;-;-;-
03/2000;25,50 ;-;-;-;-;-;-;-
04/2000;26,10 ;-;-;-;-;-;-;-
05/2000;26,00 ;-;-;-;-;-;-;-
06/2000;25,20 ;-;-;-;-;-;-;-
07/2000;26,50 ;-;-;-;-;-;-;-
08/2000;26,40 ;-;-;-;-;-;-;-
09/2000;25,50 ;-;-;-;-;-;-;-
10/2000;25,20 ;-;-;-;-;-;-;-
11/2000;27,00 ;-;-;-;-;-;-;-
12/2000;42,80 ;-;-;-;-;-;-;-
01/2001;24,10 ;-;-;-;-;-;-;-
02/2001;23,80 ;-;-;-;-;-;-;-
03/2001;23,60 ;-;-;-;-;-;-;-
04/2001;22,10 ;-;-;-;-;-;-;-
05/2001;26,60 ;-;-;-;-;-;-;-
06/2001;29,90 ;-;-;-;-;-;-;-
07/2001;26,40 ;-;-;-;-;-;-;-
08/2001;24,80 ;-;-;-;-;-;-;-
09/2001;23,60 ;-;-;-;-;-;-;-
10/2001;25,30 ;-;-;-;-;-;-;-
11/2001;24,40 ;-;-;-;-;-;-;-
12/2001;35,10 ;-;-;-;-;-;-;-
01/2002;21,30 ;-;-;-;-;-;-;-
02/2002;20,50 ;-;-;-;-;-;-;-
03/2002;24,60 ;-;-;-;-;-;-;-
04/2002;22,60 ;-;-;-;-;-;-;-
05/2002;29,10 ;-;-;-;-;-;-;-
06/2002;27,10 ;-;-;-;-;-;-;-
07/2002;29,10 ;-;-;-;-;-;-;-
08/2002;29,70 ;-;-;-;-;-;-;-
09/2002;28,40 ;-;-;-;-;-;-;-
10/2002;30,30 ;-;-;-;-;-;-;-
11/2002;30,20 ;-;-;-;-;-;-;-
12/2002;42,90 ;-;-;-;-;-;-;-
01/2003;25,10 ;-;-;-;-;-;-;-
02/2003;23,60 ;-;-;-;-;-;-;-
03/2003;23,70 ;-;-;-;-;-;-;-
04/2003;25,30 ;-;-;-;-;-;-;-
05/2003;29,30 ;-;-;-;-;-;-;-
06/2003;27,60 ;-;-;-;-;-;-;-
07/2003;30,60 ;-;-;-;-;-;-;-
08/2003;30,30 ;-;-;-;-;-;-;-
09/2003;29,20 ;-;-;-;-;-;-;-
10/2003;31,30 ;-;-;-;-;-;-;-
11/2003;31,50 ;-;-;-;-;-;-;-
12/2003;51,20 ;-;-;-;-;-;-;-
01/2004;28,90 ;655 ;370 ;1.025 ;5,23 ;4,74 ;5,02 ;-
02/2004;26,10 ;672 ;374 ;1.047 ;5,31 ;4,83 ;5,11 ;-
03/2004;31,60 ;695 ;382 ;1.077 ;4,78 ;3,89 ;4,42 ;-
04/2004;32,80 ;713 ;409 ;1.121 ;4,85 ;4,41 ;4,67 ;-
05/2004;36,40 ;733 ;422 ;1.154 ;4,90 ;4,82 ;4,87 ;-
06/2004;36,30 ;764 ;449 ;1.213 ;4,45 ;4,09 ;4,30 ;-
07/2004;43,30 ;778 ;472 ;1.251 ;4,23 ;4,11 ;4,18 ;-
08/2004;37,30 ;787 ;486 ;1.274 ;3,78 ;4,13 ;3,93 ;-
09/2004;36,70 ;813 ;502 ;1.315 ;3,87 ;3,65 ;3,78 ;-
10/2004;37,80 ;844 ;528 ;1.372 ;3,93 ;2,98 ;3,52 ;-
11/2004;36,60 ;864 ;548 ;1.412 ;4,02 ;2,90 ;3,53 ;-
12/2004;54,60 ;924 ;571 ;1.494 ;3,91 ;2,73 ;3,40 ;-
01/2005;31,80 ;959 ;569 ;1.528 ;4,00 ;2,69 ;3,45 ;-
02/2005;34,20 ;987 ;584 ;1.571 ;4,09 ;2,82 ;3,55 ;-
03/2005;37,00 ;1.020 ;594 ;1.614 ;4,17 ;2,74 ;3,57 ;-
04/2005;38,00 ;1.048 ;614 ;1.662 ;4,06 ;2,80 ;3,53 ;-
05/2005;41,90 ;1.077 ;632 ;1.709 ;4,17 ;2,74 ;3,56 ;-
06/2005;38,80 ;1.102 ;644 ;1.747 ;3,77 ;2,75 ;3,34 ;-
07/2005;40,80 ;1.121 ;645 ;1.766 ;3,86 ;3,18 ;3,57 ;-
08/2005;40,80 ;1.130 ;643 ;1.773 ;4,20 ;4,89 ;4,49 ;-
09/2005;37,50 ;1.149 ;673 ;1.822 ;4,44 ;4,99 ;4,67 ;-
10/2005;42,40 ;1.178 ;681 ;1.859 ;4,90 ;5,07 ;4,97 ;-
11/2005;41,40 ;1.217 ;676 ;1.892 ;4,84 ;3,28 ;4,20 ;-
12/2005;62,20 ;1.263 ;677 ;1.940 ;4,67 ;3,15 ;4,06 ;-
01/2006;35,70 ;1.305 ;677 ;1.982 ;5,17 ;3,55 ;4,54 ;-
02/2006;33,30 ;1.347 ;681 ;2.029 ;5,30 ;3,75 ;4,70 ;-
