Data;1459 - Índice de volume de vendas no varejo - Total - Roraima - Índice;14024 - Saldo das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas físicas - R$ (milhões);14051 - Saldo das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas jurídicas - R$ (milhões);14078 - Saldo das operações de crédito do Sistema Financeiro Nacional - Roraima - Total - R$ (milhões);15883 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas físicas - %;15915 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas jurídicas - %;15947 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Roraima - Total - %;24008 - PMS - Índice de volume de serviços - Total - Roraima - Índice
01/2000;32,50 ;-;-;-;-;-;-;-
02/2000;33,50 ;-;-;-;-;-;-;-
03/2000;38,30 ;-;-;-;-;-;-;-
04/2000;29,80 ;-;-;-;-;-;-;-
05/2000;33,90 ;-;-;-;-;-;-;-
06/2000;33,40 ;-;-;-;-;-;-;-
07/2000;33,20 ;-;-;-;-;-;-;-
08/2000;33,10 ;-;-;-;-;-;-;-
09/2000;34,10 ;-;-;-;-;-;-;-
10/2000;33,80 ;-;-;-;-;-;-;-
11/2000;36,40 ;-;-;-;-;-;-;-
12/2000;44,90 ;-;-;-;-;-;-;-
01/2001;34,00 ;-;-;-;-;-;-;-
02/2001;32,10 ;-;-;-;-;-;-;-
03/2001;31,60 ;-;-;-;-;-;-;-
04/2001;37,60 ;-;-;-;-;-;-;-
05/2001;41,10 ;-;-;-;-;-;-;-
06/2001;37,00 ;-;-;-;-;-;-;-
07/2001;35,10 ;-;-;-;-;-;-;-
08/2001;40,40 ;-;-;-;-;-;-;-
09/2001;37,10 ;-;-;-;-;-;-;-
10/2001;38,50 ;-;-;-;-;-;-;-
11/2001;40,50 ;-;-;-;-;-;-;-
12/2001;50,70 ;-;-;-;-;-;-;-
01/2002;39,80 ;-;-;-;-;-;-;-
02/2002;36,40 ;-;-;-;-;-;-;-
03/2002;37,60 ;-;-;-;-;-;-;-
04/2002;35,60 ;-;-;-;-;-;-;-
05/2002;35,30 ;-;-;-;-;-;-;-
06/2002;36,90 ;-;-;-;-;-;-;-
07/2002;43,30 ;-;-;-;-;-;-;-
08/2002;37,40 ;-;-;-;-;-;-;-
09/2002;39,40 ;-;-;-;-;-;-;-
10/2002;41,40 ;-;-;-;-;-;-;-
11/2002;39,60 ;-;-;-;-;-;-;-
12/2002;45,10 ;-;-;-;-;-;-;-
01/2003;36,60 ;-;-;-;-;-;-;-
02/2003;32,70 ;-;-;-;-;-;-;-
03/2003;34,10 ;-;-;-;-;-;-;-
04/2003;34,40 ;-;-;-;-;-;-;-
05/2003;31,00 ;-;-;-;-;-;-;-
06/2003;32,80 ;-;-;-;-;-;-;-
07/2003;32,30 ;-;-;-;-;-;-;-
08/2003;31,30 ;-;-;-;-;-;-;-
09/2003;31,60 ;-;-;-;-;-;-;-
10/2003;32,50 ;-;-;-;-;-;-;-
11/2003;33,50 ;-;-;-;-;-;-;-
12/2003;43,70 ;-;-;-;-;-;-;-
01/2004;29,50 ;149 ;387 ;536 ;8,92 ;0,37 ;2,18 ;-
02/2004;26,40 ;152 ;388 ;541 ;8,51 ;0,36 ;2,11 ;-
03/2004;29,90 ;156 ;392 ;548 ;8,34 ;0,40 ;2,12 ;-
04/2004;28,80 ;160 ;395 ;555 ;8,26 ;0,38 ;2,12 ;-
05/2004;28,40 ;162 ;398 ;561 ;8,47 ;0,42 ;2,21 ;-
06/2004;29,50 ;164 ;402 ;566 ;8,77 ;0,41 ;2,26 ;-
07/2004;33,10 ;170 ;406 ;576 ;8,68 ;0,40 ;2,26 ;-
08/2004;32,60 ;172 ;410 ;582 ;8,31 ;0,42 ;2,24 ;-
09/2004;30,90 ;176 ;415 ;591 ;8,05 ;0,45 ;2,23 ;-
10/2004;30,50 ;183 ;421 ;604 ;7,62 ;0,46 ;2,15 ;-
11/2004;32,10 ;186 ;427 ;613 ;7,64 ;0,58 ;2,28 ;-
12/2004;39,40 ;197 ;430 ;627 ;7,74 ;0,65 ;2,41 ;-
01/2005;28,40 ;207 ;435 ;642 ;7,86 ;0,69 ;2,50 ;-
02/2005;27,70 ;216 ;435 ;651 ;7,73 ;0,76 ;2,57 ;-
03/2005;32,60 ;221 ;442 ;663 ;7,50 ;0,90 ;2,64 ;-
04/2005;31,40 ;227 ;446 ;673 ;7,50 ;0,87 ;2,59 ;-
05/2005;31,50 ;235 ;449 ;684 ;7,77 ;0,83 ;2,67 ;-
06/2005;29,90 ;239 ;451 ;691 ;7,91 ;0,79 ;2,69 ;-
