Data;1470 - Índice volume de vendas no varejo (2003=100) - Total - Sergipe - Índice;7479 - Cesta básica - Aracaju - u.m.c.;14027 - Saldo das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas físicas - R$ (milhões);14054 - Saldo das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas jurídicas - R$ (milhões);14081 - Saldo das operações de crédito do Sistema Financeiro Nacional - Sergipe - Total - R$ (milhões);15886 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas físicas - %;15918 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas jurídicas - %;15950 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Sergipe - Total - %;28030 - PMS - Índice de volume de serviços - Total - Sergipe - com ajuste sazonal - Índice
01/2004;45,20 ;146,67 ;653 ;962 ;1.615 ;9,69 ;2,83 ;4,87 ;-
02/2004;41,30 ;147,00 ;662 ;961 ;1.623 ;9,37 ;2,85 ;4,81 ;-
03/2004;43,70 ;142,38 ;676 ;962 ;1.639 ;10,05 ;2,24 ;4,62 ;-
04/2004;42,70 ;139,56 ;686 ;982 ;1.668 ;10,11 ;2,20 ;4,60 ;-
05/2004;46,20 ;137,34 ;701 ;996 ;1.697 ;9,50 ;2,16 ;4,40 ;-
06/2004;45,10 ;138,43 ;722 ;1.039 ;1.760 ;8,73 ;2,06 ;4,09 ;-
07/2004;44,90 ;138,36 ;741 ;1.043 ;1.785 ;8,24 ;2,38 ;4,18 ;-
08/2004;44,90 ;150,15 ;741 ;1.035 ;1.777 ;8,41 ;2,23 ;4,16 ;-
09/2004;42,50 ;137,49 ;764 ;1.052 ;1.816 ;9,25 ;2,43 ;4,61 ;-
10/2004;44,90 ;131,49 ;787 ;1.075 ;1.862 ;9,53 ;2,02 ;4,42 ;-
11/2004;45,20 ;128,92 ;793 ;1.108 ;1.902 ;9,02 ;2,14 ;4,32 ;-
12/2004;65,30 ;131,31 ;831 ;1.126 ;1.957 ;8,89 ;2,01 ;4,22 ;-
01/2005;46,50 ;130,45 ;870 ;1.112 ;1.982 ;8,78 ;2,10 ;4,30 ;-
02/2005;50,50 ;134,93 ;892 ;1.114 ;2.006 ;8,81 ;2,01 ;4,27 ;-
03/2005;54,80 ;133,58 ;911 ;1.133 ;2.043 ;8,80 ;2,23 ;4,44 ;-
04/2005;53,20 ;137,41 ;938 ;1.208 ;2.146 ;9,10 ;2,17 ;4,45 ;-
05/2005;57,90 ;143,03 ;960 ;1.229 ;2.188 ;8,71 ;2,23 ;4,36 ;-
06/2005;57,80 ;147,40 ;976 ;1.251 ;2.226 ;8,18 ;2,24 ;4,20 ;-
07/2005;55,10 ;139,92 ;1.004 ;1.188 ;2.192 ;7,81 ;2,38 ;4,26 ;-
08/2005;58,40 ;135,04 ;1.026 ;1.210 ;2.236 ;7,84 ;2,15 ;4,13 ;-
09/2005;55,40 ;133,11 ;1.039 ;1.248 ;2.287 ;7,66 ;2,10 ;4,03 ;-
10/2005;65,40 ;133,40 ;1.062 ;1.252 ;2.314 ;7,76 ;2,49 ;4,35 ;-
11/2005;62,40 ;138,44 ;1.089 ;1.265 ;2.354 ;7,75 ;2,20 ;4,17 ;-
12/2005;90,20 ;145,30 ;1.122 ;1.242 ;2.364 ;7,61 ;2,02 ;4,06 ;-
01/2006;64,60 ;135,08 ;1.161 ;1.227 ;2.388 ;7,60 ;2,31 ;4,30 ;-
02/2006;49,60 ;133,41 ;1.198 ;1.225 ;2.423 ;7,63 ;2,42 ;4,41 ;-
03/2006;55,20 ;136,22 ;1.226 ;1.245 ;2.471 ;7,93 ;2,79 ;4,78 ;-
04/2006;53,50 ;142,70 ;1.266 ;1.238 ;2.504 ;7,82 ;2,82 ;4,79 ;-
05/2006;60,50 ;138,41 ;1.305 ;1.241 ;2.547 ;7,53 ;2,94 ;4,80 ;-
06/2006;57,60 ;134,25 ;1.352 ;1.270 ;2.622 ;7,26 ;2,86 ;4,64 ;-
07/2006;58,50 ;134,03 ;1.387 ;1.107 ;2.494 ;7,14 ;3,36 ;5,05 ;-
08/2006;63,20 ;132,11 ;1.418 ;1.131 ;2.550 ;6,74 ;3,25 ;4,81 ;-
09/2006;61,60 ;131,03 ;1.458 ;1.128 ;2.586 ;6,67 ;3,33 ;4,85 ;-
10/2006;63,30 ;136,96 ;1.488 ;1.079 ;2.567 ;6,91 ;3,39 ;5,06 ;-
11/2006;65,30 ;145,44 ;1.539 ;1.084 ;2.623 ;6,76 ;3,15 ;4,87 ;-
12/2006;88,60 ;137,61 ;1.582 ;1.120 ;2.702 ;6,57 ;3,01 ;4,73 ;-
01/2007;67,70 ;142,74 ;1.640 ;1.123 ;2.762 ;6,20 ;3,05 ;4,59 ;-
02/2007;58,40 ;141,66 ;1.685 ;1.142 ;2.827 ;6,28 ;2,93 ;4,58 ;-
03/2007;65,70 ;149,77 ;1.737 ;1.147 ;2.884 ;6,35 ;2,81 ;4,57 ;-
04/2007;60,50 ;150,45 ;1.754 ;1.223 ;2.977 ;6,25 ;2,63 ;4,40 ;-
05/2007;70,20 ;142,49 ;1.830 ;1.246 ;3.077 ;6,20 ;2,86 ;4,51 ;-
06/2007;66,70 ;140,45 ;1.895 ;1.124 ;3.019 ;5,80 ;2,78 ;4,37 ;-
07/2007;64,30 ;142,98 ;1.960 ;1.160 ;3.120 ;5,71 ;2,77 ;4,32 ;-
08/2007;68,40 ;150,82 ;2.021 ;1.152 ;3.173 ;5,54 ;2,77 ;4,27 ;-
09/2007;63,10 ;157,15 ;2.091 ;1.175 ;3.266 ;5,25 ;2,94 ;4,20 ;-
10/2007;66,30 ;151,42 ;2.155 ;1.237 ;3.392 ;5,25 ;2,68 ;4,07 ;-
11/2007;68,70 ;160,10 ;2.229 ;1.433 ;3.662 ;5,30 ;2,08 ;3,73 ;-
12/2007;94,70 ;171,16 ;2.308 ;1.442 ;3.750 ;5,04 ;2,01 ;3,58 ;-
01/2008;69,90 ;168,67 ;2.378 ;1.468 ;3.846 ;5,07 ;2,19 ;3,69 ;-
02/2008;62,00 ;165,35 ;2.449 ;1.420 ;3.869 ;5,30 ;2,34 ;3,92 ;-
03/2008;67,90 ;168,22 ;2.490 ;1.480 ;3.970 ;5,39 ;2,37 ;3,97 ;-
04/2008;64,10 ;173,29 ;2.571 ;1.522 ;4.094 ;5,66 ;2,29 ;4,09 ;-
