Data;1462;14028;14055;14082;15887;15919;15951;24009
01/2000;20,70 ;-;-;-;-;-;-;-
02/2000;19,20 ;-;-;-;-;-;-;-
03/2000;20,10 ;-;-;-;-;-;-;-
04/2000;20,90 ;-;-;-;-;-;-;-
05/2000;22,40 ;-;-;-;-;-;-;-
06/2000;18,60 ;-;-;-;-;-;-;-
07/2000;22,80 ;-;-;-;-;-;-;-
08/2000;22,60 ;-;-;-;-;-;-;-
09/2000;22,10 ;-;-;-;-;-;-;-
10/2000;24,30 ;-;-;-;-;-;-;-
11/2000;20,40 ;-;-;-;-;-;-;-
12/2000;30,40 ;-;-;-;-;-;-;-
01/2001;21,50 ;-;-;-;-;-;-;-
02/2001;18,30 ;-;-;-;-;-;-;-
03/2001;19,70 ;-;-;-;-;-;-;-
04/2001;19,00 ;-;-;-;-;-;-;-
05/2001;20,80 ;-;-;-;-;-;-;-
06/2001;19,70 ;-;-;-;-;-;-;-
07/2001;21,90 ;-;-;-;-;-;-;-
08/2001;22,70 ;-;-;-;-;-;-;-
09/2001;21,50 ;-;-;-;-;-;-;-
10/2001;21,10 ;-;-;-;-;-;-;-
11/2001;21,40 ;-;-;-;-;-;-;-
12/2001;28,90 ;-;-;-;-;-;-;-
01/2002;20,50 ;-;-;-;-;-;-;-
02/2002;19,60 ;-;-;-;-;-;-;-
03/2002;20,40 ;-;-;-;-;-;-;-
04/2002;21,40 ;-;-;-;-;-;-;-
05/2002;25,40 ;-;-;-;-;-;-;-
06/2002;21,90 ;-;-;-;-;-;-;-
07/2002;23,70 ;-;-;-;-;-;-;-
08/2002;24,70 ;-;-;-;-;-;-;-
09/2002;23,60 ;-;-;-;-;-;-;-
10/2002;25,00 ;-;-;-;-;-;-;-
11/2002;22,80 ;-;-;-;-;-;-;-
12/2002;28,50 ;-;-;-;-;-;-;-
01/2003;19,60 ;-;-;-;-;-;-;-
02/2003;20,00 ;-;-;-;-;-;-;-
03/2003;18,50 ;-;-;-;-;-;-;-
04/2003;22,10 ;-;-;-;-;-;-;-
05/2003;18,80 ;-;-;-;-;-;-;-
06/2003;18,70 ;-;-;-;-;-;-;-
07/2003;22,20 ;-;-;-;-;-;-;-
08/2003;23,40 ;-;-;-;-;-;-;-
09/2003;20,80 ;-;-;-;-;-;-;-
10/2003;21,80 ;-;-;-;-;-;-;-
11/2003;20,50 ;-;-;-;-;-;-;-
12/2003;31,40 ;-;-;-;-;-;-;-
01/2004;23,00 ;536 ;618 ;1.155 ;4,93 ;1,80 ;3,07 ;-
02/2004;20,50 ;552 ;623 ;1.175 ;4,94 ;2,20 ;3,32 ;-
03/2004;21,90 ;567 ;615 ;1.181 ;4,88 ;2,59 ;3,55 ;-
