Data;13586;13604;13606;13607;13608;20140;20141;20142;20143;20144;13585;21182;21943;25395;28043;28142;28143;28144;28145;28146
07/1989;27,96 ;-;-;-;-;-;-;-;-;-;27,80 ;-;-;-;-;-;-;-;-;-
08/1989;32,74 ;-;-;-;-;-;-;-;-;-;33,56 ;-;-;-;-;-;-;-;-;-
09/1989;36,49 ;-;-;-;-;-;-;-;-;-;37,62 ;-;-;-;-;-;-;-;-;-
10/1989;38,59 ;-;-;-;-;-;-;-;-;-;39,22 ;-;-;-;-;-;-;-;-;-
11/1989;49,63 ;-;-;-;-;-;-;-;-;-;48,39 ;-;-;-;-;-;-;-;-;-
12/1989;50,98 ;-;-;-;-;-;-;-;-;-;51,00 ;-;-;-;-;-;-;-;-;-
01/1990;67,20 ;-;-;-;-;-;-;-;-;-;66,90 ;-;-;-;-;-;-;-;-;-
02/1990;75,10 ;-;-;-;-;-;-;-;-;-;77,24 ;-;-;-;-;-;-;-;-;-
03/1990;80,35 ;-;-;-;-;-;-;-;-;-;80,14 ;-;-;-;-;-;-;-;-;-
04/1990;14,39 ;-;-;-;-;-;-;-;-;-;15,18 ;-;-;-;-;-;-;-;-;-
05/1990;6,91 ;-;-;-;-;-;-;-;-;-;7,31 ;-;-;-;-;-;-;-;-;-
06/1990;11,13 ;-;-;-;-;-;-;-;-;-;11,72 ;-;-;-;-;-;-;-;-;-
07/1990;13,51 ;-;-;-;-;-;-;-;-;-;13,67 ;-;-;-;-;-;-;-;-;-
08/1990;12,72 ;-;-;-;-;-;-;-;-;-;13,27 ;-;-;-;-;-;-;-;-;-
09/1990;13,94 ;-;-;-;-;-;-;-;-;-;14,03 ;-;-;-;-;-;-;-;-;-
10/1990;15,06 ;-;-;-;-;-;-;-;-;-;14,70 ;-;-;-;-;-;-;-;-;-
11/1990;17,38 ;-;-;-;-;-;-;-;-;-;16,83 ;-;-;-;-;-;-;-;-;-
12/1990;20,34 ;-;-;-;-;-;-;-;-;-;19,16 ;-;-;-;-;-;-;-;-;-
01/1991;21,23 ;-;-;-;-;-;-;-;-;-;21,09 ;-;-;-;-;-;-;-;-;-
02/1991;19,95 ;-;-;-;-;-;-;-;-;-;21,68 ;-;-;-;-;-;-;-;-;-
03/1991;13,18 ;-;-;-;-;-;-;-;-;-;13,10 ;-;-;-;-;-;-;-;-;-
04/1991;4,19 ;-;-;-;-;-;-;-;-;-;4,56 ;-;-;-;-;-;-;-;-;-
05/1991;6,59 ;-;-;-;-;-;-;-;-;-;7,14 ;-;-;-;-;-;-;-;-;-
06/1991;10,89 ;-;-;-;-;-;-;-;-;-;11,35 ;-;-;-;-;-;-;-;-;-
07/1991;11,86 ;-;-;-;-;-;-;-;-;-;12,14 ;-;-;-;-;-;-;-;-;-
08/1991;15,39 ;-;-;-;-;-;-;-;-;-;15,32 ;-;-;-;-;-;-;-;-;-
09/1991;15,39 ;-;-;-;-;-;-;-;-;-;15,32 ;-;-;-;-;-;-;-;-;-
10/1991;21,13 ;-;-;-;-;-;-;-;-;-;20,03 ;-;-;-;-;-;-;-;-;-
11/1991;26,51 ;-;-;-;-;-;-;-;-;-;25,26 ;-;-;-;-;-;-;-;-;-
12/1991;23,89 ;-;-;-;-;-;-;-;-;-;23,10 ;-;-;-;-;-;-;-;-;-
01/1992;26,53 ;-;-;-;-;-;-;-;-;-;26,46 ;-;-;-;-;-;-;-;-;-
02/1992;24,11 ;-;-;-;-;-;-;-;-;-;24,39 ;-;-;-;-;-;-;-;-;-
03/1992;21,66 ;-;-;-;-;-;-;-;-;-;21,34 ;-;-;-;-;-;-;-;-;-
04/1992;21,06 ;-;-;-;-;-;-;-;-;-;19,90 ;-;-;-;-;-;-;-;-;-
05/1992;25,09 ;-;-;-;-;-;-;-;-;-;25,06 ;-;-;-;-;-;-;-;-;-
06/1992;21,04 ;-;-;-;-;-;-;-;-;-;20,32 ;-;-;-;-;-;-;-;-;-
07/1992;22,49 ;-;-;-;-;-;-;-;-;-;22,07 ;-;-;-;-;-;-;-;-;-
08/1992;22,13 ;-;-;-;-;-;-;-;-;-;22,05 ;-;-;-;-;-;-;-;-;-
09/1992;23,91 ;-;-;-;-;-;-;-;-;-;24,59 ;-;-;-;-;-;-;-;-;-
10/1992;25,64 ;-;-;-;-;-;-;-;-;-;24,83 ;-;-;-;-;-;-;-;-;-
11/1992;22,96 ;-;-;-;-;-;-;-;-;-;22,44 ;-;-;-;-;-;-;-;-;-
12/1992;25,91 ;-;-;-;-;-;-;-;-;-;25,33 ;-;-;-;-;-;-;-;-;-
01/1993;28,21 ;-;-;-;-;-;-;-;-;-;30,53 ;-;-;-;-;-;-;-;-;-
02/1993;24,68 ;-;-;-;-;-;-;-;-;-;24,94 ;-;-;-;-;-;-;-;-;-
03/1993;27,55 ;-;-;-;-;-;-;-;-;-;27,04 ;-;-;-;-;-;-;-;-;-
04/1993;28,57 ;-;-;-;-;-;-;-;-;-;27,73 ;-;-;-;-;-;-;-;-;-
05/1993;26,45 ;-;-;-;-;-;-;-;-;-;27,41 ;-;-;-;-;-;-;-;-;-
06/1993;30,80 ;-;-;-;-;-;-;-;-;-;30,30 ;-;-;-;-;-;-;-;-;-
07/1993;31,38 ;-;-;-;-;-;-;-;-;-;31,19 ;-;-;-;-;-;-;-;-;-
08/1993;33,20 ;-;-;-;-;-;-;-;-;-;32,84 ;-;-;-;-;-;-;-;-;-
09/1993;35,25 ;-;-;-;-;-;-;-;-;-;35,35 ;-;-;-;-;-;-;-;-;-
10/1993;33,94 ;-;-;-;-;-;-;-;-;-;33,76 ;-;-;-;-;-;-;-;-;-
