Data;14086;14091;14096;15891;15923;15955
01/2004;59.248 ;157.596 ;216.845 ;6,20 ;3,21 ;3,91
02/2004;60.292 ;156.991 ;217.283 ;6,10 ;2,49 ;3,35
03/2004;61.455 ;156.886 ;218.341 ;5,87 ;2,36 ;3,20
04/2004;62.352 ;160.240 ;222.592 ;5,87 ;2,55 ;3,35
05/2004;63.593 ;166.209 ;229.802 ;5,77 ;2,49 ;3,26
06/2004;64.825 ;168.378 ;233.203 ;5,54 ;2,32 ;3,09
07/2004;66.289 ;169.566 ;235.856 ;5,49 ;2,44 ;3,17
08/2004;66.692 ;170.610 ;237.302 ;5,28 ;2,26 ;2,99
09/2004;67.771 ;172.310 ;240.081 ;5,37 ;2,15 ;2,94
10/2004;69.790 ;176.480 ;246.269 ;5,34 ;2,01 ;2,82
11/2004;71.352 ;176.300 ;247.652 ;5,33 ;2,02 ;2,85
12/2004;74.445 ;174.365 ;248.810 ;4,74 ;1,93 ;2,66
01/2005;77.276 ;174.982 ;252.258 ;4,77 ;1,91 ;2,66
02/2005;79.035 ;176.579 ;255.614 ;4,73 ;1,98 ;2,70
03/2005;80.379 ;178.067 ;258.446 ;4,75 ;2,13 ;2,82
04/2005;82.289 ;180.555 ;262.844 ;4,81 ;2,25 ;2,94
05/2005;84.228 ;178.513 ;262.741 ;4,96 ;1,83 ;2,68
06/2005;86.052 ;180.650 ;266.702 ;4,82 ;1,86 ;2,67
07/2005;88.309 ;182.908 ;271.216 ;4,88 ;1,91 ;2,73
08/2005;89.791 ;185.025 ;274.816 ;4,96 ;1,83 ;2,70
09/2005;91.183 ;185.947 ;277.130 ;4,99 ;1,94 ;2,81
10/2005;93.220 ;189.949 ;283.169 ;5,13 ;2,10 ;2,96
11/2005;95.644 ;192.641 ;288.286 ;5,18 ;1,99 ;2,91
12/2005;98.168 ;198.782 ;296.951 ;4,89 ;1,87 ;2,73
01/2006;101.275 ;197.138 ;298.413 ;5,11 ;1,87 ;2,81
02/2006;103.565 ;199.489 ;303.054 ;5,33 ;1,97 ;2,95
03/2006;105.673 ;201.420 ;307.093 ;5,56 ;2,06 ;3,10
04/2006;108.364 ;204.938 ;313.302 ;5,75 ;2,02 ;3,13
05/2006;110.882 ;210.880 ;321.762 ;5,94 ;1,61 ;2,90
06/2006;114.062 ;210.659 ;324.721 ;5,53 ;1,56 ;2,76
07/2006;116.736 ;214.674 ;331.410 ;5,62 ;1,44 ;2,71
08/2006;119.132 ;212.712 ;331.844 ;5,65 ;1,52 ;2,80
09/2006;121.937 ;216.446 ;338.383 ;5,50 ;1,51 ;2,75
10/2006;124.320 ;220.853 ;345.173 ;5,65 ;1,60 ;2,86
11/2006;127.731 ;227.594 ;355.325 ;5,52 ;1,59 ;2,80
12/2006;129.968 ;236.895 ;366.862 ;5,19 ;1,73 ;2,79
01/2007;133.977 ;236.864 ;370.840 ;5,20 ;1,80 ;2,86
02/2007;137.050 ;239.137 ;376.187 ;5,13 ;1,61 ;2,71
03/2007;140.259 ;241.977 ;382.236 ;5,06 ;1,42 ;2,56
04/2007;141.654 ;249.214 ;390.868 ;5,14 ;1,39 ;2,57
05/2007;147.529 ;248.952 ;396.480 ;5,19 ;1,45 ;2,66
06/2007;152.353 ;253.180 ;405.533 ;4,87 ;1,34 ;2,48
07/2007;156.368 ;257.592 ;413.960 ;4,89 ;1,34 ;2,50
08/2007;160.641 ;267.251 ;427.892 ;4,82 ;1,30 ;2,45
09/2007;165.410 ;273.230 ;438.640 ;4,64 ;1,24 ;2,35
10/2007;169.641 ;280.299 ;449.939 ;4,51 ;1,23 ;2,31
11/2007;175.231 ;292.190 ;467.421 ;4,62 ;1,22 ;2,33
12/2007;180.745 ;303.888 ;484.633 ;4,43 ;1,16 ;2,22
01/2008;186.096 ;303.919 ;490.014 ;4,56 ;1,19 ;2,30
02/2008;190.720 ;309.698 ;500.418 ;4,66 ;1,18 ;2,33
03/2008;194.467 ;324.204 ;518.671 ;4,58 ;1,10 ;2,24
04/2008;199.788 ;333.098 ;532.886 ;4,70 ;1,10 ;2,28
