Data;1473 - Índice volume de vendas no varejo - Total - Espírito Santo - Índice;1488 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Espírito Santo - Índice;1501 - Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Espírito Santo - Índice;1514 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Espírito Santo - Índice;1527 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Espírito Santo - Índice;1553 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Espírito Santo - Índice;1566 - Índice volume de vendas no varejo - Hipermercados e supermercados - Espírito Santo - Índice;7494 - Cesta básica - Vitória - u.m.c.;21928 - Produção Industrial (2012=100)  Geral  Espírito Santo - com ajuste sazonal - Índice;25399 - Índice de Atividade Econômica Regional - Espírito Santo - com ajuste sazonal - Índice;28033 - PMS - Índice de volume de serviços - Total - Espírito Santo - com ajuste sazonal - Índice
01/1998;-;-;-;-;-;-;-;86,09 ;-;-;
02/1998;-;-;-;-;-;-;-;85,48 ;-;-;
03/1998;-;-;-;-;-;-;-;86,51 ;-;-;
04/1998;-;-;-;-;-;-;-;89,91 ;-;-;
05/1998;-;-;-;-;-;-;-;89,54 ;-;-;
06/1998;-;-;-;-;-;-;-;93,89 ;-;-;
07/1998;-;-;-;-;-;-;-;86,93 ;-;-;
08/1998;-;-;-;-;-;-;-;82,97 ;-;-;
09/1998;-;-;-;-;-;-;-;81,32 ;-;-;
10/1998;-;-;-;-;-;-;-;81,77 ;-;-;
11/1998;-;-;-;-;-;-;-;82,16 ;-;-;
12/1998;-;-;-;-;-;-;-;85,66 ;-;-;
01/1999;-;-;-;-;-;-;-;81,32 ;-;-;
02/1999;-;-;-;-;-;-;-;84,73 ;-;-;
03/1999;-;-;-;-;-;-;-;88,11 ;-;-;
04/1999;-;-;-;-;-;-;-;91,99 ;-;-;
05/1999;-;-;-;-;-;-;-;89,33 ;-;-;
06/1999;-;-;-;-;-;-;-;89,83 ;-;-;
07/1999;-;-;-;-;-;-;-;84,75 ;-;-;
08/1999;-;-;-;-;-;-;-;88,76 ;-;-;
09/1999;-;-;-;-;-;-;-;85,83 ;-;-;
10/1999;-;-;-;-;-;-;-;90,07 ;-;-;
11/1999;-;-;-;-;-;-;-;93,49 ;-;-;
12/1999;-;-;-;-;-;-;-;92,76 ;-;-;
01/2000;45,20 ;144,90 ;42,70 ;52,20 ;28,40 ;16,80 ;43,00 ;94,73 ;-;-;
02/2000;45,10 ;120,80 ;44,50 ;54,40 ;28,10 ;18,30 ;45,00 ;93,22 ;-;-;
03/2000;45,60 ;126,80 ;46,10 ;56,30 ;29,90 ;20,90 ;46,10 ;96,11 ;-;-;
04/2000;44,50 ;116,40 ;45,00 ;61,50 ;27,20 ;19,60 ;44,30 ;97,17 ;-;-;
05/2000;45,70 ;126,10 ;42,30 ;70,60 ;31,10 ;21,90 ;41,60 ;93,70 ;-;-;
06/2000;45,70 ;124,20 ;43,90 ;73,30 ;28,60 ;20,00 ;43,20 ;90,69 ;-;-;
07/2000;47,10 ;123,20 ;46,00 ;69,60 ;29,80 ;20,90 ;45,90 ;89,57 ;-;-;
08/2000;46,30 ;109,90 ;45,50 ;66,10 ;30,10 ;21,30 ;45,50 ;94,08 ;-;-;
