Data;14009;14036;14063;15868;15900;15932
01/2004;1.866 ;5.593 ;7.459 ;6,31 ;1,06 ;2,15
02/2004;1.891 ;5.461 ;7.352 ;6,37 ;1,35 ;2,42
03/2004;1.939 ;5.529 ;7.467 ;6,22 ;1,37 ;2,42
04/2004;1.980 ;5.781 ;7.761 ;6,37 ;1,77 ;2,75
05/2004;2.033 ;6.144 ;8.177 ;5,95 ;1,48 ;2,41
06/2004;2.092 ;6.015 ;8.106 ;5,69 ;1,33 ;2,28
07/2004;2.146 ;6.008 ;8.154 ;5,64 ;1,48 ;2,39
08/2004;2.172 ;6.349 ;8.520 ;5,64 ;1,50 ;2,39
09/2004;2.214 ;6.315 ;8.529 ;5,69 ;1,26 ;2,24
10/2004;2.274 ;6.001 ;8.275 ;5,65 ;1,25 ;2,27
11/2004;2.315 ;5.722 ;8.037 ;5,64 ;1,36 ;2,41
12/2004;2.416 ;5.541 ;7.957 ;5,04 ;2,38 ;3,07
01/2005;2.516 ;5.508 ;8.024 ;5,03 ;2,56 ;3,21
02/2005;2.566 ;5.597 ;8.163 ;4,96 ;3,12 ;3,61
03/2005;2.614 ;5.581 ;8.196 ;4,92 ;2,80 ;3,37
04/2005;2.683 ;5.494 ;8.177 ;4,93 ;2,89 ;3,46
05/2005;2.763 ;5.521 ;8.284 ;4,87 ;0,99 ;2,08
06/2005;2.844 ;5.640 ;8.484 ;4,61 ;0,84 ;1,90
07/2005;2.917 ;5.687 ;8.603 ;4,59 ;0,93 ;1,97
08/2005;2.972 ;5.489 ;8.461 ;4,63 ;1,11 ;2,16
09/2005;3.024 ;5.517 ;8.541 ;4,61 ;1,11 ;2,16
10/2005;3.080 ;5.725 ;8.805 ;4,73 ;1,12 ;2,20
11/2005;3.120 ;5.741 ;8.861 ;4,69 ;1,16 ;2,22
12/2005;3.210 ;6.179 ;9.389 ;4,43 ;1,03 ;2,01
01/2006;3.326 ;5.971 ;9.297 ;4,51 ;1,25 ;2,24
02/2006;3.399 ;5.937 ;9.336 ;4,69 ;1,32 ;2,37
03/2006;3.457 ;6.175 ;9.632 ;4,77 ;1,28 ;2,35
04/2006;3.542 ;6.312 ;9.854 ;4,81 ;1,33 ;2,39
05/2006;3.631 ;6.421 ;10.052 ;4,82 ;1,23 ;2,33
06/2006;3.765 ;6.548 ;10.314 ;4,60 ;1,13 ;2,21
07/2006;3.864 ;6.577 ;10.441 ;4,51 ;1,11 ;2,18
08/2006;3.978 ;6.604 ;10.581 ;4,32 ;1,12 ;2,15
09/2006;4.080 ;6.955 ;11.035 ;4,12 ;1,02 ;2,00
10/2006;4.169 ;7.149 ;11.318 ;4,22 ;1,15 ;2,12
11/2006;4.269 ;7.361 ;11.630 ;4,05 ;1,08 ;2,01
12/2006;4.365 ;7.934 ;12.299 ;3,93 ;1,07 ;1,94
01/2007;4.500 ;8.040 ;12.540 ;3,89 ;1,19 ;2,02
02/2007;4.598 ;7.966 ;12.564 ;3,94 ;1,24 ;2,06
03/2007;4.552 ;7.960 ;12.512 ;3,98 ;1,28 ;2,11
04/2007;4.816 ;8.044 ;12.860 ;4,05 ;1,37 ;2,24
