Data;1472;1487;1500;1513;1526;1552;1565;7481;12852;12853;20113;20116;20119;20122;20125;21940;25380;28032
07/1989;-;-;-;-;-;-;-;-;28,43;28,02 ;-;-;-;-;-;-;-;-
08/1989;-;-;-;-;-;-;-;-;34,76;33,86 ;-;-;-;-;-;-;-;-
09/1989;-;-;-;-;-;-;-;-;38,44;37,44 ;-;-;-;-;-;-;-;-
10/1989;-;-;-;-;-;-;-;-;40,36;38,49 ;-;-;-;-;-;-;-;-
11/1989;-;-;-;-;-;-;-;-;47,12;47,83 ;-;-;-;-;-;-;-;-
12/1989;-;-;-;-;-;-;-;-;51,63;52,23 ;-;-;-;-;-;-;-;-
01/1990;-;-;-;-;-;-;-;-;66,86;68,07 ;-;-;-;-;-;-;-;-
02/1990;-;-;-;-;-;-;-;-;77,24;76,89 ;-;-;-;-;-;-;-;-
03/1990;-;-;-;-;-;-;-;-;77,07;75,40 ;-;-;-;-;-;-;-;-
04/1990;-;-;-;-;-;-;-;-;15,19;15,26 ;-;-;-;-;-;-;-;-
05/1990;-;-;-;-;-;-;-;-;7,20;6,77 ;-;-;-;-;-;-;-;-
06/1990;-;-;-;-;-;-;-;-;11,05;11,04 ;-;-;-;-;-;-;-;-
07/1990;-;-;-;-;-;-;-;-;11,57;11,06 ;-;-;-;-;-;-;-;-
08/1990;-;-;-;-;-;-;-;-;12,47;12,46 ;-;-;-;-;-;-;-;-
09/1990;-;-;-;-;-;-;-;-;14,38;14,68 ;-;-;-;-;-;-;-;-
10/1990;-;-;-;-;-;-;-;-;14,58;14,24 ;-;-;-;-;-;-;-;-
11/1990;-;-;-;-;-;-;-;-;16,20;16,40 ;-;-;-;-;-;-;-;-
12/1990;-;-;-;-;-;-;-;-;18,15;19,33 ;-;-;-;-;-;-;-;-
01/1991;-;-;-;-;-;-;-;-;19,19;19,92 ;-;-;-;-;-;-;-;-
02/1991;-;-;-;-;-;-;-;-;18,38;19,34 ;-;-;-;-;-;-;-;-
03/1991;-;-;-;-;-;-;-;-;7,47;7,30 ;-;-;-;-;-;-;-;-
04/1991;-;-;-;-;-;-;-;-;4,19;3,67 ;-;-;-;-;-;-;-;-
05/1991;-;-;-;-;-;-;-;-;6,34;6,16 ;-;-;-;-;-;-;-;-
06/1991;-;-;-;-;-;-;-;-;12,29;11,34 ;-;-;-;-;-;-;-;-
07/1991;-;-;-;-;-;-;-;-;13,33;13,06 ;-;-;-;-;-;-;-;-
08/1991;-;-;-;-;-;-;-;-;16,37;15,92 ;-;-;-;-;-;-;-;-
09/1991;-;-;-;-;-;-;-;-;16,37;15,92 ;-;-;-;-;-;-;-;-
10/1991;-;-;-;-;-;-;-;-;21,19;22,06 ;-;-;-;-;-;-;-;-
11/1991;-;-;-;-;-;-;-;-;25,05;25,43 ;-;-;-;-;-;-;-;-
12/1991;-;-;-;-;-;-;-;-;24,83;25,36 ;-;-;-;-;-;-;-;-
01/1992;-;-;-;-;-;-;-;-;28,74;28,21 ;-;-;-;-;-;-;-;-
02/1992;-;-;-;-;-;-;-;-;23,58;25,19 ;-;-;-;-;-;-;-;-
03/1992;-;-;-;-;-;-;-;-;21,08;20,57 ;-;-;-;-;-;-;-;-
04/1992;-;-;-;-;-;-;-;-;20,80;21,06 ;-;-;-;-;-;-;-;-
05/1992;-;-;-;-;-;-;-;-;24,40;24,31 ;-;-;-;-;-;-;-;-
06/1992;-;-;-;-;-;-;-;-;20,21;20,85 ;-;-;-;-;-;-;-;-
07/1992;-;-;-;-;-;-;-;-;21,83;22,08 ;-;-;-;-;-;-;-;-
08/1992;-;-;-;-;-;-;-;-;21,77;22,39 ;-;-;-;-;-;-;-;-
09/1992;-;-;-;-;-;-;-;-;24,55;24,40 ;-;-;-;-;-;-;-;-
10/1992;-;-;-;-;-;-;-;-;25,64;25,63 ;-;-;-;-;-;-;-;-
11/1992;-;-;-;-;-;-;-;-;23,52;24,08 ;-;-;-;-;-;-;-;-
12/1992;-;-;-;-;-;-;-;-;25,08;25,64 ;-;-;-;-;-;-;-;-
01/1993;-;-;-;-;-;-;-;-;30,83;28,94 ;-;-;-;-;-;-;-;-
02/1993;-;-;-;-;-;-;-;-;27,02;26,38 ;-;-;-;-;-;-;-;-
03/1993;-;-;-;-;-;-;-;-;25,31;25,20 ;-;-;-;-;-;-;-;-
04/1993;-;-;-;-;-;-;-;-;27,30;27,87 ;-;-;-;-;-;-;-;-
05/1993;-;-;-;-;-;-;-;-;27,69;26,78 ;-;-;-;-;-;-;-;-
06/1993;-;-;-;-;-;-;-;-;30,07;30,37 ;-;-;-;-;-;-;-;-
07/1993;-;-;-;-;-;-;-;-;29,60;30,98 ;-;-;-;-;-;-;-;-
08/1993;-;-;-;-;-;-;-;-;32,38;32,59 ;-;-;-;-;-;-;-;-
09/1993;-;-;-;-;-;-;-;-;35,97;35,42 ;-;-;-;-;-;-;-;-
10/1993;-;-;-;-;-;-;-;-;34,49;34,24 ;-;-;-;-;-;-;-;-
11/1993;-;-;-;-;-;-;-;-;35,48;35,95 ;-;-;-;-;-;-;-;-
12/1993;-;-;-;-;-;-;-;-;38,11;39,18 ;-;-;-;-;-;-;-;-
01/1994;-;-;-;-;-;-;-;-;41,18;41,23 ;-;-;-;-;-;-;-;-
