Data;14014;14041;14068;15873;15905;15937
01/2004;10.904 ;18.661 ;29.565 ;5,74 ;1,37 ;2,76
02/2004;11.099 ;18.957 ;30.057 ;5,71 ;1,80 ;3,04
03/2004;11.273 ;19.043 ;30.316 ;5,52 ;1,58 ;2,84
04/2004;11.453 ;18.992 ;30.444 ;5,61 ;1,62 ;2,91
05/2004;11.668 ;19.817 ;31.485 ;5,54 ;1,62 ;2,87
06/2004;11.933 ;20.122 ;32.055 ;5,16 ;1,66 ;2,78
07/2004;12.155 ;19.890 ;32.046 ;5,07 ;1,65 ;2,76
08/2004;12.143 ;19.957 ;32.100 ;4,91 ;1,60 ;2,68
09/2004;12.398 ;20.117 ;32.515 ;4,87 ;1,79 ;2,81
10/2004;12.839 ;20.728 ;33.566 ;4,77 ;1,28 ;2,43
11/2004;13.097 ;21.255 ;34.352 ;4,73 ;1,18 ;2,36
12/2004;13.648 ;21.350 ;34.997 ;4,44 ;1,07 ;2,21
01/2005;14.146 ;21.338 ;35.484 ;4,43 ;1,13 ;2,26
02/2005;14.395 ;21.918 ;36.313 ;4,41 ;1,23 ;2,30
03/2005;14.609 ;22.522 ;37.131 ;4,38 ;1,37 ;2,38
04/2005;14.977 ;22.691 ;37.668 ;4,56 ;1,45 ;2,50
05/2005;15.305 ;22.114 ;37.419 ;4,63 ;1,31 ;2,47
06/2005;15.706 ;22.683 ;38.389 ;4,44 ;1,30 ;2,40
07/2005;16.058 ;22.837 ;38.895 ;4,47 ;1,33 ;2,44
08/2005;16.225 ;23.280 ;39.505 ;4,59 ;1,28 ;2,44
09/2005;16.492 ;23.663 ;40.155 ;4,62 ;1,64 ;2,69
10/2005;16.921 ;24.241 ;41.162 ;4,71 ;1,75 ;2,80
11/2005;17.396 ;24.650 ;42.047 ;4,77 ;1,79 ;2,85
12/2005;17.845 ;25.310 ;43.155 ;4,60 ;1,48 ;2,59
01/2006;18.482 ;25.024 ;43.506 ;4,70 ;1,69 ;2,79
02/2006;18.939 ;25.440 ;44.379 ;4,85 ;1,55 ;2,76
03/2006;19.284 ;25.816 ;45.100 ;5,20 ;1,66 ;2,97
04/2006;19.772 ;26.078 ;45.851 ;5,34 ;1,87 ;3,16
05/2006;20.212 ;27.238 ;47.449 ;5,48 ;2,03 ;3,30
06/2006;20.884 ;27.512 ;48.396 ;5,03 ;1,91 ;3,07
07/2006;21.374 ;27.603 ;48.976 ;4,98 ;1,93 ;3,08
08/2006;21.785 ;27.812 ;49.596 ;5,08 ;1,99 ;3,17
09/2006;22.365 ;28.139 ;50.504 ;5,06 ;1,97 ;3,16
10/2006;22.831 ;29.477 ;52.308 ;5,24 ;1,97 ;3,21
11/2006;23.490 ;29.887 ;53.377 ;4,74 ;1,95 ;3,01
12/2006;23.782 ;30.664 ;54.447 ;4,35 ;1,84 ;2,80
01/2007;24.526 ;30.139 ;54.665 ;4,34 ;1,93 ;2,86
02/2007;25.016 ;30.534 ;55.551 ;4,36 ;1,90 ;2,86
03/2007;25.652 ;31.018 ;56.669 ;4,39 ;1,86 ;2,85
04/2007;25.822 ;32.049 ;57.871 ;4,50 ;1,80 ;2,85
05/2007;26.954 ;32.517 ;59.470 ;4,47 ;1,88 ;2,90
06/2007;27.986 ;33.101 ;61.087 ;4,09 ;1,69 ;2,64
07/2007;28.706 ;33.489 ;62.195 ;4,01 ;1,68 ;2,61
08/2007;29.315 ;34.258 ;63.573 ;4,00 ;1,73 ;2,64
09/2007;30.221 ;35.590 ;65.811 ;3,87 ;1,69 ;2,56
10/2007;31.108 ;36.391 ;67.499 ;3,88 ;1,69 ;2,57
11/2007;32.236 ;38.148 ;70.384 ;3,98 ;1,64 ;2,58
12/2007;33.283 ;39.155 ;72.437 ;3,71 ;1,57 ;2,42
01/2008;34.347 ;39.447 ;73.794 ;3,87 ;1,64 ;2,54
02/2008;35.137 ;40.256 ;75.393 ;3,99 ;1,53 ;2,53
03/2008;36.279 ;41.665 ;77.944 ;3,92 ;1,34 ;2,39
04/2008;37.252 ;43.695 ;80.948 ;4,00 ;1,28 ;2,38
05/2008;38.560 ;45.315 ;83.875 ;4,27 ;1,23 ;2,45
06/2008;39.843 ;46.629 ;86.472 ;3,94 ;1,10 ;2,25
07/2008;41.214 ;47.202 ;88.416 ;3,96 ;1,09 ;2,26
08/2008;42.322 ;48.539 ;90.861 ;4,02 ;1,12 ;2,30
09/2008;42.988 ;51.505 ;94.493 ;3,76 ;1,03 ;2,12
10/2008;44.194 ;53.203 ;97.397 ;3,88 ;1,04 ;2,16
11/2008;44.749 ;54.915 ;99.664 ;3,95 ;1,07 ;2,19
12/2008;44.965 ;54.411 ;99.376 ;4,08 ;1,09 ;2,27
01/2009;45.641 ;54.046 ;99.687 ;4,53 ;1,29 ;2,58
02/2009;46.203 ;54.376 ;100.579 ;4,80 ;1,50 ;2,81
03/2009;46.145 ;54.726 ;100.870 ;5,11 ;1,84 ;3,14
04/2009;46.962 ;54.916 ;101.878 ;5,27 ;2,18 ;3,42
05/2009;47.617 ;55.454 ;103.071 ;5,49 ;2,48 ;3,69
06/2009;48.548 ;57.409 ;105.958 ;5,56 ;2,62 ;3,79
07/2009;49.530 ;57.139 ;106.669 ;5,62 ;2,86 ;3,98
08/2009;50.306 ;57.140 ;107.446 ;5,66 ;3,05 ;4,12
09/2009;51.201 ;56.885 ;108.085 ;5,58 ;3,21 ;4,19
10/2009;52.429 ;58.249 ;110.678 ;5,49 ;3,18 ;4,14
11/2009;53.534 ;58.736 ;112.271 ;5,29 ;3,05 ;3,98
12/2009;54.132 ;60.396 ;114.528 ;4,93 ;2,87 ;3,73
01/2010;56.184 ;60.658 ;116.842 ;4,94 ;2,77 ;3,68
02/2010;56.368 ;61.283 ;117.651 ;4,87 ;2,69 ;3,60
03/2010;56.591 ;61.890 ;118.481 ;4,75 ;2,53 ;3,46
04/2010;57.861 ;63.298 ;121.159 ;4,62 ;2,46 ;3,37
05/2010;58.968 ;68.857 ;127.825 ;4,49 ;2,25 ;3,15
06/2010;60.340 ;72.292 ;132.632 ;4,24 ;2,09 ;2,94
07/2010;61.129 ;74.516 ;135.645 ;4,14 ;2,01 ;2,85
08/2010;62.008 ;77.276 ;139.285 ;3,98 ;1,85 ;2,68
09/2010;63.608 ;78.744 ;142.352 ;3,81 ;1,69 ;2,52
10/2010;65.049 ;80.259 ;145.309 ;3,85 ;1,70 ;2,54
11/2010;66.293 ;81.848 ;148.141 ;3,68 ;1,64 ;2,44
12/2010;67.902 ;81.297 ;149.198 ;3,42 ;1,65 ;2,36
01/2011;69.432 ;81.051 ;150.483 ;3,54 ;1,69 ;2,43
02/2011;70.523 ;81.832 ;152.355 ;3,10 ;1,58 ;2,19
03/2011;71.168 ;83.363 ;154.532 ;3,25 ;1,60 ;2,27
