Data;1474 - indice volume de vendas no varejo - Total - Rio de Janeiro - indice;1489 - indice volume de vendas no varejo - Combustiveis e lubrificantes - Rio de Janeiro - indice;1502 - indice volume de vendas no varejo - Hiper/supermercado, Prod. alimenticios, bebidas, fumo - Rio de Janeiro - indice;1515 - indice volume de vendas no varejo - Tecido, vestuario e calcado - Rio de Janeiro - indice;1528 - indice volume de vendas no varejo - Moveis e eletrodomesticos - Rio de Janeiro - indice;1554 - indice volume de vendas no varejo - Automoveis, motocicletas, partes e pecas - Rio de Janeiro - indice;1567 - indice volume de vendas no varejo - Hipermercados e supermercados - Rio de Janeiro - indice;7491 - Cesta basica - Rio de Janeiro - u.m.c.;13381 - indice Nacional de Precos ao Consumidor Amplo - variacao mensal - Rio de Janeiro - %;13382 - indice Nacional de Precos ao Consumidor - variacao mensal - Rio de Janeiro - %;21929 - Producao Industrial (2012=100) - Geral - Rio de Janeiro - com ajuste sazonal - indice;25397 - indice de Atividade Economica Regional - Rio de Janeiro - com ajuste sazonal - indice;28034 - PMS - indice de volume de servicos - Total - Rio de Janeiro - com ajuste sazonal - indice
07/1989;-;-;-;-;-;-;-;-;30,61;31,40 ;-;-;-
08/1989;-;-;-;-;-;-;-;-;34,62;34,00 ;-;-;-
09/1989;-;-;-;-;-;-;-;-;37,28;36,20 ;-;-;-
10/1989;-;-;-;-;-;-;-;-;38,00;37,00 ;-;-;-
11/1989;-;-;-;-;-;-;-;-;49,96;49,90 ;-;-;-
12/1989;-;-;-;-;-;-;-;-;50,06;50,10 ;-;-;-
01/1990;-;-;-;-;-;-;-;-;65,71;65,20 ;-;-;-
02/1990;-;-;-;-;-;-;-;-;70,94;71,50 ;-;-;-
03/1990;-;-;-;-;-;-;-;-;83,77;84,40 ;-;-;-
04/1990;-;-;-;-;-;-;-;-;17,93;15,30 ;-;-;-
05/1990;-;-;-;-;-;-;-;-;7,23;6,00 ;-;-;-
06/1990;-;-;-;-;-;-;-;-;10,58;9,60 ;-;-;-
07/1990;-;-;-;-;-;-;-;-;15,71;15,80 ;-;-;-
08/1990;-;-;-;-;-;-;-;-;10,28;9,70 ;-;-;-
09/1990;-;-;-;-;-;-;-;-;14,34;14,00 ;-;-;-
10/1990;-;-;-;-;-;-;-;-;13,40;13,40 ;-;-;-
11/1990;-;-;-;-;-;-;-;-;17,55;17,30 ;-;-;-
12/1990;-;-;-;-;-;-;-;-;20,87;21,10 ;-;-;-
01/1991;-;-;-;-;-;-;-;-;22,45;21,50 ;-;-;-
02/1991;-;-;-;-;-;-;-;-;20,72;20,00 ;-;-;-
03/1991;-;-;-;-;-;-;-;-;14,25;10,80 ;-;-;-
04/1991;-;-;-;-;-;-;-;-;4,63;4,10 ;-;-;-
05/1991;-;-;-;-;-;-;-;-;5,95;4,80 ;-;-;-
06/1991;-;-;-;-;-;-;-;-;12,59;12,20 ;-;-;-
07/1991;-;-;-;-;-;-;-;-;11,98;12,20 ;-;-;-
08/1991;-;-;-;-;-;-;-;-;15,51;15,90 ;-;-;-
09/1991;-;-;-;-;-;-;-;-;15,51;15,90 ;-;-;-
10/1991;-;-;-;-;-;-;-;-;18,82;19,60 ;-;-;-
11/1991;-;-;-;-;-;-;-;-;25,98;28,20 ;-;-;-
12/1991;-;-;-;-;-;-;-;-;23,78;25,00 ;-;-;-
01/1992;-;-;-;-;-;-;-;-;25,61;25,90 ;-;-;-
02/1992;-;-;-;-;-;-;-;-;23,60;24,60 ;-;-;-
03/1992;-;-;-;-;-;-;-;-;21,57;21,20 ;-;-;-
04/1992;-;-;-;-;-;-;-;-;19,36;20,10 ;-;-;-
05/1992;-;-;-;-;-;-;-;-;27,59;27,20 ;-;-;-
06/1992;-;-;-;-;-;-;-;-;20,21;20,90 ;-;-;-
07/1992;-;-;-;-;-;-;-;-;21,83;22,10 ;-;-;-
08/1992;-;-;-;-;-;-;-;-;23,08;22,50 ;-;-;-
09/1992;-;-;-;-;-;-;-;-;24,19;24,80 ;-;-;-
10/1992;-;-;-;-;-;-;-;-;26,15;26,90 ;-;-;-
11/1992;-;-;-;-;-;-;-;-;23,19;23,80 ;-;-;-
12/1992;-;-;-;-;-;-;-;-;25,47;25,40 ;-;-;-
01/1993;-;-;-;-;-;-;-;-;30,79;29,80 ;-;-;-
02/1993;-;-;-;-;-;-;-;-;24,44;24,40 ;-;-;-
03/1993;-;-;-;-;-;-;-;-;27,23;27,60 ;-;-;-
04/1993;-;-;-;-;-;-;-;-;27,63;28,00 ;-;-;-
05/1993;-;-;-;-;-;-;-;-;27,69;26,80 ;-;-;-
06/1993;-;-;-;-;-;-;-;-;30,07;30,40 ;-;-;-
07/1993;-;-;-;-;-;-;-;-;30,03;30,60 ;-;-;-
08/1993;-;-;-;-;-;-;-;-;33,96;34,00 ;-;-;-
