Data;14020;14047;14074;15879;15911;15943
01/2004;9.661 ;29.950 ;39.611 ;8,52 ;6,20 ;6,66
02/2004;9.798 ;29.544 ;39.341 ;8,30 ;6,53 ;6,88
03/2004;10.022 ;29.681 ;39.703 ;7,83 ;5,82 ;6,23
04/2004;10.144 ;29.756 ;39.900 ;7,68 ;6,63 ;6,84
05/2004;10.370 ;30.817 ;41.187 ;7,47 ;5,72 ;6,08
06/2004;10.564 ;31.288 ;41.853 ;7,27 ;5,40 ;5,78
07/2004;10.871 ;31.365 ;42.236 ;7,21 ;6,27 ;6,47
08/2004;10.926 ;31.966 ;42.892 ;6,84 ;5,78 ;6,00
09/2004;11.121 ;32.840 ;43.962 ;6,93 ;5,29 ;5,63
10/2004;11.297 ;33.240 ;44.537 ;7,13 ;5,19 ;5,59
11/2004;11.775 ;32.109 ;43.884 ;6,96 ;5,25 ;5,63
12/2004;12.292 ;31.243 ;43.535 ;6,24 ;4,73 ;5,08
01/2005;12.844 ;31.746 ;44.591 ;6,30 ;4,66 ;5,04
02/2005;13.188 ;31.460 ;44.648 ;6,14 ;4,62 ;4,98
03/2005;13.495 ;31.714 ;45.210 ;6,27 ;4,80 ;5,15
04/2005;13.879 ;32.331 ;46.210 ;6,30 ;4,76 ;5,13
05/2005;14.267 ;31.913 ;46.180 ;6,52 ;4,08 ;4,69
06/2005;14.585 ;31.933 ;46.518 ;6,51 ;4,59 ;5,08
07/2005;15.039 ;32.702 ;47.741 ;6,55 ;4,52 ;5,03
08/2005;15.392 ;32.845 ;48.236 ;6,60 ;4,52 ;5,06
09/2005;15.573 ;32.388 ;47.962 ;6,75 ;4,49 ;5,09
10/2005;15.946 ;34.129 ;50.075 ;6,92 ;4,33 ;5,00
11/2005;16.402 ;34.808 ;51.210 ;7,01 ;4,18 ;4,93
12/2005;16.761 ;36.120 ;52.881 ;6,59 ;4,22 ;4,83
01/2006;17.310 ;36.439 ;53.749 ;6,76 ;4,19 ;4,87
02/2006;17.744 ;37.357 ;55.100 ;6,97 ;4,12 ;4,86
03/2006;18.101 ;37.913 ;56.015 ;7,30 ;4,41 ;5,17
04/2006;18.593 ;39.033 ;57.626 ;7,52 ;4,02 ;4,94
05/2006;19.019 ;41.431 ;60.451 ;7,80 ;1,66 ;3,23
06/2006;19.565 ;39.228 ;58.793 ;7,21 ;1,63 ;3,13
07/2006;19.999 ;41.101 ;61.100 ;7,40 ;1,01 ;2,70
08/2006;20.411 ;41.541 ;61.953 ;7,37 ;1,07 ;2,76
09/2006;20.867 ;41.785 ;62.653 ;6,96 ;1,10 ;2,68
10/2006;21.333 ;42.708 ;64.041 ;7,10 ;1,30 ;2,88
11/2006;21.982 ;45.649 ;67.631 ;7,09 ;1,27 ;2,81
12/2006;22.339 ;48.272 ;70.611 ;6,62 ;1,21 ;2,61
01/2007;23.147 ;50.894 ;74.042 ;6,53 ;1,29 ;2,61
02/2007;23.778 ;51.276 ;75.053 ;6,41 ;1,14 ;2,49
03/2007;24.312 ;51.150 ;75.462 ;6,29 ;1,00 ;2,37
04/2007;24.584 ;54.715 ;79.299 ;6,25 ;0,92 ;2,28
05/2007;25.665 ;52.348 ;78.013 ;6,40 ;0,94 ;2,41
06/2007;26.471 ;49.176 ;75.647 ;6,05 ;0,97 ;2,43
07/2007;27.223 ;49.846 ;77.069 ;6,14 ;0,98 ;2,48
08/2007;27.992 ;53.342 ;81.335 ;6,08 ;0,92 ;2,38
09/2007;28.810 ;54.392 ;83.202 ;5,80 ;0,85 ;2,25
10/2007;29.539 ;57.200 ;86.739 ;5,91 ;0,83 ;2,25
11/2007;30.415 ;59.492 ;89.907 ;6,10 ;0,81 ;2,29
12/2007;31.361 ;62.140 ;93.501 ;5,86 ;0,78 ;2,18
01/2008;32.623 ;62.710 ;95.333 ;5,97 ;0,78 ;2,24
02/2008;33.410 ;63.480 ;96.890 ;6,12 ;0,77 ;2,28
03/2008;34.109 ;66.352 ;100.461 ;5,99 ;0,70 ;2,17
04/2008;35.132 ;69.270 ;104.402 ;6,14 ;0,71 ;2,21
05/2008;36.285 ;74.889 ;111.174 ;6,45 ;0,69 ;2,23
06/2008;37.325 ;76.744 ;114.069 ;6,03 ;0,68 ;2,11
07/2008;38.344 ;77.546 ;115.890 ;6,21 ;0,70 ;2,19
08/2008;39.334 ;80.845 ;120.179 ;6,36 ;0,73 ;2,22
09/2008;39.824 ;83.273 ;123.097 ;6,15 ;0,82 ;2,23
10/2008;41.100 ;88.653 ;129.753 ;6,37 ;0,80 ;2,22
11/2008;41.711 ;92.034 ;133.745 ;6,64 ;0,80 ;2,26
12/2008;42.035 ;95.372 ;137.407 ;6,79 ;0,85 ;2,31
01/2009;42.692 ;95.165 ;137.857 ;7,15 ;0,98 ;2,50
02/2009;43.073 ;96.275 ;139.348 ;7,47 ;1,10 ;2,66
03/2009;43.075 ;97.879 ;140.954 ;7,55 ;1,33 ;2,86
04/2009;43.852 ;98.317 ;142.169 ;7,61 ;1,45 ;2,98
05/2009;44.670 ;98.591 ;143.261 ;7,82 ;1,60 ;3,17
06/2009;45.563 ;99.144 ;144.707 ;7,68 ;1,56 ;3,12
07/2009;46.411 ;113.473 ;159.885 ;7,68 ;1,51 ;2,95
08/2009;47.117 ;116.570 ;163.687 ;7,59 ;1,52 ;2,93
09/2009;48.073 ;120.055 ;168.127 ;7,45 ;1,50 ;2,88
10/2009;49.219 ;121.101 ;170.320 ;7,37 ;1,57 ;2,93
11/2009;50.741 ;123.473 ;174.214 ;7,14 ;1,52 ;2,84
12/2009;51.839 ;125.869 ;177.708 ;6,67 ;1,33 ;2,61
01/2010;53.266 ;127.891 ;181.157 ;6,79 ;1,26 ;2,55
02/2010;53.252 ;130.330 ;183.582 ;6,61 ;1,21 ;2,46
03/2010;53.582 ;127.254 ;180.836 ;6,38 ;1,14 ;2,40
04/2010;54.770 ;126.529 ;181.300 ;6,30 ;1,01 ;2,31
05/2010;55.803 ;125.902 ;181.705 ;6,29 ;0,97 ;2,30
