Data;13565;13567;13573;20107;20326;20327;20328;20329;20330;20331;20332;20333;20334;20335;21280;21281;21421;21935;25403;28044;28148;28149;28150;28151
07/1989;28,13 ;27,63 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
08/1989;32,93 ;32,88 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
09/1989;39,69 ;39,17 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
10/1989;43,42 ;42,48 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
11/1989;46,25 ;46,62 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
12/1989;52,14 ;51,89 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
01/1990;64,96 ;64,68 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
02/1990;71,64 ;72,52 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
03/1990;88,32 ;88,45 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
04/1990;15,03 ;14,03 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
05/1990;6,91 ;6,85 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
06/1990;11,36 ;11,59 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
07/1990;10,61 ;9,93 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
08/1990;11,04 ;10,72 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
09/1990;15,37 ;15,35 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
10/1990;14,34 ;14,52 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
11/1990;15,96 ;15,74 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
12/1990;17,26 ;17,21 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
01/1991;18,91 ;18,73 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
02/1991;18,19 ;18,62 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
03/1991;8,48 ;7,76 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
04/1991;5,92 ;6,55 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
05/1991;7,56 ;6,77 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
06/1991;12,19 ;11,87 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
07/1991;12,79 ;12,89 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
08/1991;16,53 ;16,15 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
09/1991;16,53 ;16,15 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
10/1991;21,18 ;21,76 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
