Data;14087;14092;14097;15892;15924;15956
01/2004;27.497 ;41.563 ;69.060 ;4,01 ;2,80 ;3,24
02/2004;27.972 ;42.360 ;70.332 ;4,04 ;2,77 ;3,23
03/2004;28.402 ;42.937 ;71.339 ;3,80 ;2,17 ;2,76
04/2004;28.816 ;44.235 ;73.051 ;3,72 ;1,95 ;2,59
05/2004;29.265 ;45.522 ;74.787 ;3,65 ;1,70 ;2,40
06/2004;29.623 ;45.497 ;75.121 ;3,48 ;1,58 ;2,27
07/2004;29.726 ;46.375 ;76.101 ;3,51 ;1,50 ;2,22
08/2004;30.084 ;47.290 ;77.375 ;3,41 ;1,46 ;2,15
09/2004;31.333 ;47.731 ;79.064 ;3,34 ;1,40 ;2,11
10/2004;32.820 ;48.803 ;81.623 ;3,26 ;1,41 ;2,10
11/2004;34.132 ;49.121 ;83.253 ;3,15 ;1,41 ;2,08
12/2004;35.682 ;49.943 ;85.625 ;2,86 ;1,45 ;2,00
01/2005;36.649 ;50.350 ;86.999 ;2,86 ;1,46 ;2,00
02/2005;37.216 ;51.338 ;88.554 ;2,90 ;1,47 ;2,02
03/2005;37.769 ;52.556 ;90.325 ;2,98 ;1,61 ;2,14
04/2005;38.359 ;53.544 ;91.902 ;2,91 ;2,03 ;2,37
05/2005;39.081 ;52.755 ;91.836 ;2,98 ;1,52 ;2,09
06/2005;39.572 ;53.284 ;92.855 ;2,90 ;1,55 ;2,08
07/2005;39.768 ;54.091 ;93.859 ;3,05 ;1,67 ;2,21
08/2005;39.880 ;54.586 ;94.466 ;3,27 ;1,67 ;2,29
09/2005;40.817 ;54.432 ;95.249 ;3,44 ;1,76 ;2,42
10/2005;42.484 ;55.149 ;97.633 ;3,57 ;1,76 ;2,49
11/2005;44.206 ;56.323 ;100.530 ;3,57 ;1,80 ;2,52
12/2005;45.582 ;58.214 ;103.796 ;3,37 ;1,61 ;2,33
01/2006;46.647 ;57.263 ;103.910 ;3,51 ;1,73 ;2,47
02/2006;47.402 ;57.851 ;105.253 ;3,64 ;1,74 ;2,53
03/2006;48.022 ;58.915 ;106.937 ;3,79 ;1,82 ;2,63
04/2006;48.954 ;59.851 ;108.805 ;3,93 ;1,90 ;2,74
05/2006;49.702 ;60.982 ;110.684 ;4,00 ;1,93 ;2,79
06/2006;50.452 ;62.712 ;113.164 ;3,89 ;1,85 ;2,69
07/2006;50.621 ;63.040 ;113.660 ;4,12 ;2,04 ;2,89
08/2006;51.165 ;63.549 ;114.713 ;4,64 ;2,16 ;3,17
09/2006;52.610 ;64.206 ;116.816 ;5,06 ;2,19 ;3,37
10/2006;54.294 ;64.603 ;118.897 ;5,25 ;2,38 ;3,59
11/2006;56.028 ;67.058 ;123.087 ;4,35 ;2,21 ;3,11
12/2006;57.340 ;68.671 ;126.011 ;3,66 ;1,90 ;2,64
01/2007;58.576 ;68.666 ;127.243 ;3,71 ;1,96 ;2,70
02/2007;59.558 ;69.929 ;129.486 ;3,67 ;1,96 ;2,68
03/2007;59.778 ;70.373 ;130.151 ;3,63 ;1,95 ;2,66
04/2007;61.181 ;71.967 ;133.149 ;3,65 ;2,05 ;2,73
05/2007;62.443 ;72.856 ;135.299 ;3,69 ;2,04 ;2,74
06/2007;63.590 ;74.150 ;137.740 ;3,35 ;2,07 ;2,61
07/2007;64.368 ;76.359 ;140.727 ;3,38 ;1,90 ;2,52
08/2007;65.599 ;79.465 ;145.063 ;3,45 ;1,77 ;2,46
09/2007;67.871 ;80.782 ;148.653 ;3,47 ;1,65 ;2,41
10/2007;70.511 ;82.193 ;152.704 ;3,55 ;1,57 ;2,41
11/2007;73.171 ;85.091 ;158.262 ;3,58 ;1,52 ;2,40
12/2007;75.130 ;88.579 ;163.710 ;3,27 ;1,37 ;2,17
01/2008;76.825 ;88.741 ;165.566 ;3,44 ;1,38 ;2,25
