Data;1476;1491;1504;1517;1530;1556;7483;13066;13070;20134;20135;20136;20137;20138;20139;21980;25413;28036
01/2004;52,60 ;89,60 ;58,50 ;67,50 ;40,90 ;40,70 ;160,56 ;1,62 ;1,45 ;48,60;28,20 ;117,00 ;10,30 ;26,10 ;61,10 ;70,2 ;106,50 ;-
02/2004;50,40 ;83,50 ;58,70 ;64,50 ;31,80 ;36,90 ;157,82 ;0,66 ;1,01 ;45,70;25,90 ;107,70 ;7,90 ;29,90 ;56,50 ;72,0 ;109,40 ;-
03/2004;56,50 ;102,10 ;63,90 ;75,20 ;37,90 ;45,80 ;154,43 ;0,52 ;0,09 ;53,20;30,10 ;94,30 ;10,70 ;27,50 ;69,60 ;70,3 ;109,77 ;-
04/2004;57,10 ;98,40 ;66,30 ;76,20 ;36,90 ;40,80 ;156,29 ;1,07 ;0,72 ;51,30;29,60 ;76,60 ;9,60 ;28,90 ;62,10 ;71,7 ;109,90 ;-
05/2004;59,10 ;101,30 ;62,30 ;106,80 ;45,20 ;42,20 ;162,79 ;0,90 ;0,76 ;53,10;31,70 ;84,10 ;11,60 ;29,20 ;63,00 ;68,0 ;106,18 ;-
06/2004;55,20 ;95,80 ;59,90 ;84,80 ;43,20 ;40,60 ;168,94 ;0,82 ;0,98 ;50,20;29,70 ;69,30 ;10,30 ;26,00 ;64,10 ;64,0 ;105,26 ;-
07/2004;58,90 ;102,80 ;65,30 ;87,60 ;45,40 ;43,30 ;165,47 ;1,17 ;1,03 ;53,60;29,20 ;74,30 ;8,50 ;26,30 ;67,70 ;72,6 ;109,15 ;-
08/2004;56,00 ;97,00 ;62,30 ;76,80 ;44,10 ;44,40 ;171,95 ;1,04 ;1,38 ;52,20;29,20 ;74,20 ;8,20 ;26,00 ;65,30 ;81,1 ;112,80 ;-
09/2004;55,60 ;97,10 ;63,20 ;75,90 ;42,10 ;42,80 ;166,03 ;-0,31 ;-0,08 ;51,40;27,30 ;66,00 ;7,30 ;24,60 ;65,50 ;81,1 ;112,54 ;-
10/2004;59,40 ;96,30 ;69,10 ;76,50 ;45,90 ;42,00 ;162,92 ;0,18 ;0,48 ;53,20;28,50 ;66,10 ;6,90 ;28,60 ;64,70 ;77,2 ;111,33 ;-
11/2004;57,10 ;90,30 ;64,40 ;79,70 ;46,10 ;44,00 ;158,13 ;0,27 ;0,71 ;52,80;29,20 ;70,90 ;8,90 ;29,90 ;67,60 ;79,1 ;111,66 ;-
12/2004;79,90 ;96,70 ;87,00 ;136,90 ;76,60 ;49,30 ;155,91 ;0,39 ;0,53 ;67,70;36,20 ;111,30 ;7,60 ;53,90 ;66,10 ;76,6 ;110,97 ;-
01/2005;56,30 ;91,60 ;65,30 ;67,30 ;44,80 ;42,80 ;160,10 ;0,35 ;0,37 ;51,50;27,60 ;97,60 ;6,30 ;25,40 ;60,60 ;78,5 ;111,28 ;-
02/2005;49,70 ;84,00 ;53,90 ;62,30 ;39,80 ;38,00 ;164,13 ;-0,16 ;0,20 ;46,40;28,50 ;132,20 ;14,20 ;27,10 ;68,60 ;76,9 ;112,16 ;-
03/2005;58,30 ;94,10 ;64,70 ;73,30 ;45,30 ;45,60 ;166,32 ;0,73 ;0,85 ;54,60;33,40 ;95,90 ;15,90 ;36,40 ;76,40 ;77,0 ;113,94 ;-
04/2005;55,10 ;87,20 ;59,40 ;86,70 ;45,50 ;39,40 ;171,69 ;0,52 ;0,58 ;50,40;30,70 ;76,50 ;15,80 ;29,00 ;74,70 ;76,0 ;112,93 ;-
05/2005;56,60 ;95,20 ;57,10 ;89,50 ;51,70 ;39,60 ;177,15 ;0,27 ;0,21 ;51,00;33,80 ;67,50 ;14,90 ;33,60 ;71,00 ;82,1 ;111,91 ;-
06/2005;56,30 ;106,40 ;56,80 ;77,40 ;49,90 ;37,70 ;168,40 ;-0,46 ;-0,52 ;50,40;33,60 ;63,70 ;17,60 ;32,40 ;74,20 ;76,4 ;111,14 ;-
07/2005;58,80 ;100,30 ;61,60 ;93,40 ;49,40 ;38,70 ;163,21 ;0,47 ;0,78 ;52,00;32,40 ;75,00 ;14,90 ;31,90 ;72,10 ;76,7 ;111,05 ;-
08/2005;55,20 ;95,60 ;56,10 ;78,10 ;49,80 ;39,80 ;156,64 ;0,18 ;0,34 ;50,70;33,70 ;96,60 ;18,00 ;32,10 ;78,30 ;76,7 ;111,28 ;-
09/2005;54,00 ;93,10 ;56,00 ;80,70 ;46,40 ;35,90 ;158,05 ;0,35 ;0,38 ;48,10;31,10 ;73,30 ;15,80 ;29,80 ;69,70 ;82,1 ;112,74 ;-
