Data;14017;14044;14071;15876;15908;15940
01/2004;10.661 ;13.362 ;24.022 ;3,42 ;1,71 ;2,42
02/2004;10.839 ;13.685 ;24.524 ;3,47 ;1,71 ;2,43
03/2004;11.021 ;13.997 ;25.018 ;3,39 ;1,86 ;2,49
04/2004;11.223 ;14.345 ;25.569 ;3,36 ;1,84 ;2,46
05/2004;11.427 ;14.849 ;26.275 ;3,37 ;1,78 ;2,42
06/2004;11.586 ;15.139 ;26.725 ;3,31 ;1,44 ;2,19
07/2004;11.681 ;15.530 ;27.212 ;3,30 ;1,38 ;2,14
08/2004;11.760 ;15.982 ;27.742 ;3,17 ;1,44 ;2,12
09/2004;12.235 ;16.173 ;28.408 ;3,11 ;1,40 ;2,09
10/2004;12.907 ;16.488 ;29.394 ;3,07 ;1,41 ;2,09
11/2004;13.495 ;16.684 ;30.178 ;2,96 ;1,39 ;2,05
12/2004;14.049 ;16.972 ;31.022 ;2,69 ;1,40 ;1,95
01/2005;14.413 ;16.879 ;31.292 ;2,65 ;1,38 ;1,92
02/2005;14.650 ;16.948 ;31.599 ;2,71 ;1,39 ;1,96
03/2005;14.842 ;17.362 ;32.204 ;2,83 ;1,48 ;2,06
04/2005;15.046 ;17.656 ;32.702 ;2,83 ;1,70 ;2,18
05/2005;15.324 ;17.461 ;32.784 ;2,92 ;1,23 ;1,96
06/2005;15.462 ;17.750 ;33.212 ;2,87 ;1,24 ;1,94
07/2005;15.463 ;18.271 ;33.734 ;3,06 ;1,41 ;2,10
08/2005;15.439 ;18.480 ;33.918 ;3,37 ;1,23 ;2,13
09/2005;15.727 ;18.923 ;34.650 ;3,63 ;1,42 ;2,35
10/2005;16.400 ;19.091 ;35.492 ;3,78 ;1,33 ;2,39
11/2005;17.085 ;19.311 ;36.397 ;3,85 ;1,39 ;2,47
12/2005;17.529 ;19.585 ;37.114 ;3,61 ;1,29 ;2,31
01/2006;17.937 ;19.227 ;37.163 ;3,79 ;1,45 ;2,51
02/2006;18.236 ;19.238 ;37.475 ;3,98 ;1,58 ;2,67
03/2006;18.426 ;19.689 ;38.114 ;4,15 ;1,75 ;2,83
04/2006;18.823 ;19.852 ;38.675 ;4,35 ;1,88 ;3,00
05/2006;19.116 ;20.415 ;39.532 ;4,47 ;1,94 ;3,07
06/2006;19.416 ;20.609 ;40.025 ;4,25 ;1,88 ;2,95
07/2006;19.497 ;20.767 ;40.264 ;4,59 ;2,02 ;3,17
08/2006;19.672 ;21.129 ;40.801 ;5,29 ;2,18 ;3,57
09/2006;20.228 ;21.514 ;41.742 ;5,83 ;2,15 ;3,80
10/2006;20.882 ;21.806 ;42.688 ;6,04 ;2,43 ;4,07
11/2006;21.634 ;23.344 ;44.979 ;4,89 ;2,13 ;3,36
12/2006;22.036 ;23.783 ;45.819 ;3,84 ;2,05 ;2,85
01/2007;22.558 ;23.701 ;46.259 ;3,96 ;2,14 ;2,96
