Data;14022;14049;14076;15881;15913;15945
01/2004;11.418 ;17.286 ;28.704 ;4,67 ;1,61 ;2,74
02/2004;11.610 ;17.239 ;28.849 ;4,62 ;1,68 ;2,78
03/2004;11.771 ;17.618 ;29.389 ;4,29 ;1,67 ;2,64
04/2004;11.910 ;18.000 ;29.910 ;4,15 ;1,71 ;2,62
05/2004;12.085 ;18.383 ;30.469 ;4,00 ;1,57 ;2,46
06/2004;12.246 ;18.399 ;30.645 ;3,71 ;1,38 ;2,25
07/2004;12.195 ;18.698 ;30.893 ;3,78 ;1,34 ;2,23
08/2004;12.406 ;18.976 ;31.382 ;3,67 ;1,36 ;2,21
09/2004;12.949 ;18.917 ;31.866 ;3,59 ;1,29 ;2,17
10/2004;13.465 ;19.258 ;32.724 ;3,44 ;1,34 ;2,15
11/2004;13.945 ;19.351 ;33.296 ;3,36 ;1,33 ;2,13
12/2004;14.591 ;19.766 ;34.357 ;3,05 ;1,21 ;1,94
01/2005;14.971 ;20.292 ;35.263 ;3,06 ;1,17 ;1,92
02/2005;15.149 ;20.955 ;36.104 ;3,08 ;1,20 ;1,93
03/2005;15.362 ;21.476 ;36.838 ;3,11 ;1,27 ;1,98
04/2005;15.594 ;21.900 ;37.494 ;2,99 ;1,53 ;2,09
05/2005;15.886 ;21.446 ;37.333 ;3,04 ;1,50 ;2,10
06/2005;16.135 ;21.561 ;37.695 ;2,93 ;1,51 ;2,07
07/2005;16.192 ;21.716 ;37.907 ;3,05 ;1,68 ;2,22
08/2005;16.267 ;21.905 ;38.171 ;3,28 ;1,78 ;2,37
09/2005;16.664 ;21.246 ;37.910 ;3,45 ;2,00 ;2,59
10/2005;17.330 ;21.437 ;38.767 ;3,61 ;2,07 ;2,71
11/2005;18.008 ;22.085 ;40.092 ;3,54 ;2,10 ;2,70
12/2005;18.637 ;23.170 ;41.806 ;3,40 ;1,98 ;2,57
01/2006;19.040 ;22.750 ;41.790 ;3,51 ;2,04 ;2,67
