Data;14025 - Saldo das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas físicas - R$ (milhões);14052 - Saldo das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas jurídicas - R$ (milhões);14079 - Saldo das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Total - R$ (milhões);15884 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas físicas - %;15916 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas jurídicas - %;15948 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Total - %
01/2004;5.418 ;10.915 ;16.333 ;3,78 ;6,05 ;5,38
02/2004;5.524 ;11.436 ;16.960 ;3,95 ;5,69 ;5,19
03/2004;5.609 ;11.322 ;16.931 ;3,56 ;3,34 ;3,40
04/2004;5.683 ;11.889 ;17.573 ;3,56 ;2,46 ;2,78
05/2004;5.753 ;12.289 ;18.043 ;3,49 ;1,80 ;2,27
06/2004;5.791 ;11.959 ;17.750 ;3,35 ;2,07 ;2,44
07/2004;5.850 ;12.147 ;17.997 ;3,39 ;1,92 ;2,34
08/2004;5.918 ;12.332 ;18.250 ;3,33 ;1,66 ;2,14
09/2004;6.149 ;12.641 ;18.789 ;3,31 ;1,58 ;2,09
10/2004;6.449 ;13.057 ;19.505 ;3,25 ;1,53 ;2,04
11/2004;6.692 ;13.085 ;19.778 ;3,13 ;1,58 ;2,05
12/2004;7.042 ;13.205 ;20.246 ;2,84 ;1,90 ;2,19
01/2005;7.265 ;13.180 ;20.445 ;2,90 ;2,01 ;2,29
02/2005;7.416 ;13.434 ;20.851 ;2,92 ;2,00 ;2,29
03/2005;7.565 ;13.718 ;21.283 ;3,01 ;2,32 ;2,54
04/2005;7.719 ;13.988 ;21.707 ;2,93 ;3,24 ;3,14
05/2005;7.871 ;13.848 ;21.719 ;2,98 ;1,94 ;2,27
06/2005;7.975 ;13.973 ;21.948 ;2,94 ;2,01 ;2,31
07/2005;8.113 ;14.104 ;22.217 ;3,04 ;2,02 ;2,35
08/2005;8.175 ;14.201 ;22.376 ;3,08 ;2,10 ;2,41
09/2005;8.427 ;14.263 ;22.689 ;3,08 ;1,84 ;2,25
10/2005;8.753 ;14.621 ;23.374 ;3,12 ;1,87 ;2,29
