Data;1477 - Índice de volume de vendas no varejo - Total - Santa Catarina - Índice;1492 - Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Santa Catarina - Índice;1505 - Índice de volume de vendas no varejo - Hiper/supermercados, Prod. alimentícios, bebidas, fumo - Santa Catarina - Índice;1518 - Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Santa Catarina - Índice;1531 - Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Santa Catarina - Índice;1557 - Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Santa Catarina - Índice;1570 - Índice de volume de vendas no varejo - Hipermercados e supermercados - Santa Catarina - Índice;7484 - Cesta básica - Florianópolis - u.m.c.;20199 - Índice de volume de vendas no varejo - Ampliado - Santa Catarina - Índice;20200 - Índice de volume de vendas no varejo - Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos - Santa Catarina - Índice;20201 - Índice de volume de vendas no varejo - Livros, jornais, revistas e papelaria - Santa Catarina - Índice;20202 - Índice de volume de vendas no varejo - Equipamentos e materiais para escritório, informática e comunicação - Santa Catarina - Índice;20203 - Índice de volume de vendas no varejo - Outros artigos de uso pessoal e doméstico - Santa Catarina - Índice;20204 - Índice de volume de vendas no varejo - Material de construção - Santa Catarina - Índice;21982 - Produção Industrial (2012=100) - Geral - Com ajuste sazonal - Santa Catarina - Índice;25405 - Índice de Atividade Econômica Regional - Santa Catarina - com ajuste sazonal - Índice;28037 - PMS - Índice de volume de serviços - Total - Santa Catarina - com ajuste sazonal - Índice
01/2000;47,50 ;62,50 ;57,00 ;35,90 ;33,20 ;40,80 ;55,00;100,62 ;-;-;-;-;-;-;-;-;-
02/2000;47,80 ;63,20 ;55,10 ;46,40 ;32,70 ;49,60 ;52,80;105,30 ;-;-;-;-;-;-;-;-;-
03/2000;48,60 ;62,50 ;56,00 ;44,50 ;34,80 ;53,30 ;55,00;107,37 ;-;-;-;-;-;-;-;-;-
04/2000;48,50 ;62,70 ;56,00 ;52,50 ;32,10 ;47,50 ;56,20;101,05 ;-;-;-;-;-;-;-;-;-
05/2000;49,10 ;61,20 ;52,20 ;64,80 ;39,40 ;54,90 ;51,90;100,13 ;-;-;-;-;-;-;-;-;-
06/2000;47,30 ;60,40 ;52,50 ;56,70 ;34,90 ;50,50 ;52,10;96,38 ;-;-;-;-;-;-;-;-;-
07/2000;48,20 ;57,80 ;54,00 ;56,40 ;36,80 ;55,30 ;53,70;100,58 ;-;-;-;-;-;-;-;-;-
08/2000;47,20 ;55,70 ;53,20 ;49,40 ;37,80 ;57,80 ;53,20;99,73 ;-;-;-;-;-;-;-;-;-
09/2000;47,20 ;57,60 ;54,60 ;45,00 ;34,60 ;48,20 ;54,80;106,48 ;-;-;-;-;-;-;-;-;-
10/2000;48,60 ;59,60 ;54,60 ;53,00 ;38,40 ;55,60 ;54,40;108,31 ;-;-;-;-;-;-;-;-;-
11/2000;49,80 ;57,80 ;55,10 ;56,40 ;43,00 ;53,20 ;55,30;107,53 ;-;-;-;-;-;-;-;-;-
12/2000;70,30 ;62,60 ;76,40 ;98,50 ;70,30 ;62,70 ;76,20;103,27 ;-;-;-;-;-;-;-;-;-
01/2001;49,40 ;58,10 ;59,00 ;38,00 ;39,90 ;49,80 ;58,50;103,71 ;-;-;-;-;-;-;-;-;-
02/2001;46,60 ;53,90 ;55,60 ;45,00 ;33,40 ;50,70 ;55,60;106,35 ;-;-;-;-;-;-;-;-;-
03/2001;51,50 ;60,10 ;61,30 ;44,00 ;40,40 ;64,20 ;61,50;105,96 ;-;-;-;-;-;-;-;-;-
04/2001;49,90 ;57,40 ;59,00 ;51,30 ;36,30 ;59,50 ;59,40;113,11 ;-;-;-;-;-;-;-;-;-
05/2001;50,90 ;63,30 ;53,60 ;67,40 ;43,00 ;62,10 ;53,60;116,13 ;-;-;-;-;-;-;-;-;-
06/2001;48,80 ;62,70 ;54,60 ;55,10 ;35,90 ;52,10 ;54,90;115,94 ;-;-;-;-;-;-;-;-;-
07/2001;48,30 ;61,30 ;54,20 ;49,80 ;38,10 ;52,70 ;55,00;116,50 ;-;-;-;-;-;-;-;-;-
08/2001;49,30 ;65,60 ;55,20 ;47,00 ;38,70 ;48,90 ;56,20;117,82 ;-;-;-;-;-;-;-;-;-
09/2001;47,10 ;59,60 ;54,70 ;44,80 ;35,00 ;40,50 ;55,10;118,96 ;-;-;-;-;-;-;-;-;-
10/2001;51,10 ;60,60 ;58,70 ;52,00 ;39,40 ;41,20 ;57,70;121,22 ;-;-;-;-;-;-;-;-;-
11/2001;50,20 ;60,80 ;56,70 ;52,30 ;40,70 ;41,20 ;57,00;125,09 ;-;-;-;-;-;-;-;-;-
12/2001;69,40 ;68,60 ;75,00 ;94,70 ;67,60 ;40,40 ;76,40;127,84 ;-;-;-;-;-;-;-;-;-
01/2002;48,60 ;64,80 ;57,00 ;34,90 ;38,50 ;37,20 ;57,90;120,35 ;-;-;-;-;-;-;97,8 ;-;-
02/2002;46,10 ;62,70 ;54,10 ;37,20 ;32,40 ;33,90 ;55,00;122,94 ;-;-;-;-;-;-;97,6 ;-;-
03/2002;52,10 ;65,60 ;62,40 ;40,90 ;38,50 ;37,80 ;64,00;119,58 ;-;-;-;-;-;-;98,3 ;-;-
04/2002;47,50 ;60,60 ;53,20 ;47,20 ;38,20 ;40,30 ;54,10;122,61 ;-;-;-;-;-;-;98,1 ;-;-
05/2002;50,90 ;61,60 ;56,60 ;56,80 ;42,10 ;35,80 ;57,30;122,15 ;-;-;-;-;-;-;95,5 ;-;-
06/2002;47,80 ;59,40 ;54,00 ;52,60 ;37,20 ;29,90 ;54,80;124,72 ;-;-;-;-;-;-;94,2 ;-;-
07/2002;50,60 ;70,20 ;56,30 ;51,40 ;38,70 ;33,30 ;57,70;126,89 ;-;-;-;-;-;-;96,5 ;-;-
08/2002;52,30 ;74,60 ;59,40 ;47,50 ;37,30 ;35,60 ;60,60;128,72 ;-;-;-;-;-;-;96,9 ;-;-
09/2002;47,30 ;67,90 ;53,70 ;40,60 ;33,80 ;32,40 ;54,80;131,65 ;-;-;-;-;-;-;97,3 ;-;-
10/2002;51,40 ;68,90 ;58,30 ;49,40 ;38,00 ;38,00 ;59,70;137,62 ;-;-;-;-;-;-;99,2 ;-;-
11/2002;51,70 ;72,20 ;58,10 ;50,50 ;38,60 ;31,20 ;59,30;147,77 ;-;-;-;-;-;-;102,2 ;-;-
12/2002;67,50 ;78,20 ;71,70 ;89,30 ;61,00 ;32,40 ;73,60;148,64 ;-;-;-;-;-;-;98,1 ;-;-
01/2003;48,70 ;74,20 ;56,30 ;34,30 ;34,20 ;29,80 ;58,20;150,64 ;-;-;-;-;-;-;96,7 ;102,17 ;-
02/2003;45,20 ;62,50 ;52,60 ;37,70 ;31,30 ;28,80 ;53,90;155,50 ;-;-;-;-;-;-;95,4 ;102,97 ;-
03/2003;47,50 ;66,10 ;56,00 ;39,80 ;32,00 ;29,30 ;57,30;163,10 ;-;-;-;-;-;-;92,6 ;102,65 ;-
04/2003;49,00 ;63,90 ;57,30 ;50,60 ;31,40 ;30,20 ;57,90;164,49 ;-;-;-;-;-;-;91,3 ;101,24 ;-
05/2003;51,00 ;66,50 ;56,40 ;62,30 ;37,90 ;32,50 ;57,10;162,41 ;-;-;-;-;-;-;90,1 ;100,00 ;-
06/2003;46,10 ;63,50 ;51,80 ;49,20 ;32,60 ;29,30 ;52,30;154,43 ;-;-;-;-;-;-;91,5 ;100,72 ;-
07/2003;50,40 ;70,20 ;56,10 ;50,10 ;38,10 ;31,30 ;56,60;149,83 ;-;-;-;-;-;-;89,6 ;98,06 ;-
08/2003;50,30 ;66,90 ;58,00 ;47,30 ;36,30 ;28,00 ;58,90;145,78 ;-;-;-;-;-;-;91,4 ;98,07 ;-
09/2003;48,60 ;63,10 ;55,00 ;44,00 ;40,50 ;33,90 ;55,50;145,44 ;-;-;-;-;-;-;96,5 ;99,92 ;-
10/2003;53,30 ;69,80 ;59,60 ;50,30 ;45,90 ;36,20 ;59,90;149,50 ;-;-;-;-;-;-;95,8 ;100,07 ;-
11/2003;53,30 ;72,10 ;58,70 ;52,20 ;46,20 ;34,50 ;59,40;148,51 ;-;-;-;-;-;-;98,7 ;101,62 ;-
12/2003;73,60 ;76,20 ;76,90 ;92,30 ;81,60 ;42,30 ;78,10;147,74 ;-;-;-;-;-;-;94,3 ;102,07 ;-
01/2004;56,00 ;76,80 ;64,40 ;38,90 ;45,10 ;35,10 ;65,20;153,89 ;47,40 ;26,70 ;72,60 ;7,20 ;28,20 ;43,80 ;94,6 ;103,60 ;-
02/2004;51,30 ;68,00 ;60,40 ;42,00 ;37,50 ;37,60 ;61,20;149,82 ;45,60 ;23,80 ;101,30 ;9,20 ;25,30 ;42,00 ;96,8 ;104,84 ;-
03/2004;54,80 ;77,90 ;60,30 ;46,40 ;44,60 ;45,20 ;61,00;147,67 ;51,10 ;26,00 ;70,90 ;11,50 ;29,70 ;50,30 ;98,5 ;104,87 ;-
04/2004;55,30 ;74,80 ;62,60 ;52,50 ;43,10 ;42,50 ;64,20;143,03 ;50,00 ;24,00 ;49,00 ;9,10 ;34,40 ;45,80 ;100,8 ;106,07 ;-
05/2004;56,80 ;74,00 ;59,50 ;68,20 ;52,40 ;42,20 ;61,10;156,10 ;50,90 ;26,70 ;50,30 ;8,00 ;37,20 ;49,00 ;103,1 ;105,61 ;-
