Data;14026 - Saldo das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas físicas - R$ (milhões);14053 - Saldo das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas jurídicas - R$ (milhões);14080 - Saldo das operações de crédito do Sistema Financeiro Nacional - São Paulo - Total - R$ (milhões);15885 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas físicas - %;15917 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas jurídicas - %;15949 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - São Paulo - Total - %
01/2004;36.817 ;103.392 ;140.209 ;5,77 ;2,80 ;3,47
02/2004;37.505 ;103.029 ;140.533 ;5,69 ;1,52 ;2,49
03/2004;38.221 ;102.634 ;140.855 ;5,50 ;1,55 ;2,48
04/2004;38.775 ;105.712 ;144.487 ;5,50 ;1,62 ;2,53
05/2004;39.522 ;109.432 ;148.953 ;5,42 ;1,79 ;2,63
06/2004;40.236 ;110.953 ;151.189 ;5,23 ;1,63 ;2,46
07/2004;41.117 ;112.303 ;153.420 ;5,18 ;1,56 ;2,40
08/2004;41.451 ;112.339 ;153.789 ;5,00 ;1,42 ;2,27
09/2004;42.037 ;113.039 ;155.076 ;5,12 ;1,36 ;2,26
10/2004;43.379 ;116.511 ;159.890 ;5,07 ;1,28 ;2,18
11/2004;44.165 ;117.214 ;161.378 ;5,08 ;1,32 ;2,23
12/2004;46.090 ;116.231 ;162.321 ;4,45 ;1,32 ;2,10
01/2005;47.770 ;116.389 ;164.160 ;4,48 ;1,27 ;2,08
02/2005;48.886 ;117.604 ;166.490 ;4,47 ;1,36 ;2,15
03/2005;49.660 ;118.249 ;167.910 ;4,47 ;1,52 ;2,28
04/2005;50.750 ;120.039 ;170.789 ;4,51 ;1,71 ;2,43
05/2005;51.893 ;118.966 ;170.859 ;4,67 ;1,36 ;2,23
06/2005;52.916 ;120.394 ;173.310 ;4,52 ;1,29 ;2,14
07/2005;54.294 ;121.682 ;175.977 ;4,59 ;1,36 ;2,22
08/2005;55.203 ;123.411 ;178.613 ;4,66 ;1,25 ;2,16
09/2005;56.093 ;124.379 ;180.472 ;4,68 ;1,38 ;2,27
10/2005;57.273 ;125.854 ;183.128 ;4,81 ;1,61 ;2,49
11/2005;58.726 ;127.441 ;186.167 ;4,87 ;1,47 ;2,41
12/2005;60.352 ;131.174 ;191.526 ;4,57 ;1,34 ;2,23
01/2006;62.157 ;129.704 ;191.861 ;4,84 ;1,28 ;2,29
02/2006;63.484 ;130.755 ;194.239 ;5,09 ;1,46 ;2,49
03/2006;64.831 ;131.515 ;196.346 ;5,27 ;1,50 ;2,59
04/2006;66.457 ;133.515 ;199.972 ;5,46 ;1,50 ;2,65
05/2006;68.020 ;135.790 ;203.811 ;5,66 ;1,54 ;2,74
06/2006;69.847 ;137.371 ;207.217 ;5,30 ;1,50 ;2,61
07/2006;71.500 ;139.393 ;210.893 ;5,41 ;1,49 ;2,65
08/2006;72.958 ;136.755 ;209.714 ;5,45 ;1,58 ;2,76
09/2006;74.625 ;139.566 ;214.191 ;5,32 ;1,57 ;2,72
10/2006;75.986 ;141.520 ;217.506 ;5,48 ;1,63 ;2,81
11/2006;77.989 ;144.696 ;222.686 ;5,43 ;1,64 ;2,80
12/2006;79.482 ;150.024 ;229.506 ;5,12 ;1,91 ;2,89
01/2007;81.803 ;147.790 ;229.594 ;5,18 ;1,99 ;2,98
02/2007;83.658 ;149.361 ;233.019 ;5,08 ;1,74 ;2,78
03/2007;85.743 ;151.850 ;237.593 ;4,99 ;1,49 ;2,59
04/2007;86.432 ;154.406 ;240.838 ;5,10 ;1,47 ;2,62
05/2007;89.912 ;155.786 ;245.698 ;5,14 ;1,54 ;2,70
06/2007;92.711 ;162.347 ;255.057 ;4,84 ;1,37 ;2,48
07/2007;95.090 ;165.651 ;260.741 ;4,87 ;1,37 ;2,49
08/2007;97.825 ;170.564 ;268.389 ;4,79 ;1,34 ;2,45
09/2007;100.684 ;173.918 ;274.602 ;4,62 ;1,28 ;2,36
10/2007;103.116 ;177.244 ;280.361 ;4,38 ;1,27 ;2,28
11/2007;106.496 ;184.715 ;291.212 ;4,47 ;1,26 ;2,30
12/2007;109.831 ;192.310 ;302.141 ;4,31 ;1,20 ;2,20
01/2008;112.674 ;191.474 ;304.149 ;4,44 ;1,23 ;2,28
02/2008;115.583 ;195.248 ;310.830 ;4,53 ;1,25 ;2,32
03/2008;117.351 ;204.920 ;322.271 ;4,45 ;1,18 ;2,23
04/2008;120.458 ;208.320 ;328.778 ;4,57 ;1,19 ;2,29
05/2008;124.170 ;211.089 ;335.259 ;4,68 ;1,26 ;2,38
06/2008;127.348 ;216.212 ;343.559 ;4,28 ;1,12 ;2,15
07/2008;130.744 ;219.132 ;349.877 ;4,34 ;1,11 ;2,17
08/2008;133.918 ;223.576 ;357.495 ;4,49 ;1,15 ;2,25
09/2008;136.140 ;233.901 ;370.040 ;4,41 ;1,14 ;2,20
10/2008;139.690 ;241.137 ;380.827 ;4,51 ;1,17 ;2,24
11/2008;141.049 ;246.877 ;387.925 ;4,68 ;1,22 ;2,32
12/2008;141.898 ;248.275 ;390.173 ;4,83 ;1,34 ;2,45
01/2009;143.557 ;244.624 ;388.181 ;5,25 ;1,55 ;2,74
02/2009;144.981 ;246.451 ;391.432 ;5,48 ;1,89 ;3,05
03/2009;145.010 ;248.671 ;393.681 ;5,71 ;2,11 ;3,27
04/2009;147.091 ;248.859 ;395.950 ;5,86 ;2,33 ;3,48
05/2009;149.428 ;249.254 ;398.682 ;6,01 ;2,68 ;3,77
06/2009;152.075 ;252.569 ;404.644 ;5,83 ;2,93 ;3,88
07/2009;154.568 ;252.419 ;406.987 ;5,92 ;3,25 ;4,14
08/2009;156.492 ;255.958 ;412.450 ;5,97 ;3,29 ;4,18
09/2009;159.197 ;261.324 ;420.521 ;5,96 ;3,23 ;4,14
10/2009;162.270 ;264.031 ;426.301 ;5,92 ;3,17 ;4,09
11/2009;166.449 ;268.841 ;435.291 ;5,75 ;3,14 ;4,01
12/2009;169.332 ;270.396 ;439.728 ;5,33 ;2,75 ;3,63
01/2010;174.134 ;270.989 ;445.122 ;5,38 ;2,79 ;3,67
02/2010;174.075 ;272.766 ;446.841 ;5,28 ;2,67 ;3,55
03/2010;175.145 ;275.451 ;450.596 ;5,07 ;2,49 ;3,37
04/2010;178.339 ;277.734 ;456.073 ;4,97 ;2,51 ;3,36
